DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,N° SIREN,N° INSEE si commune,Communes membres de la coll,Avec ou sans CCSPL,Agence(s) de l'eau,Bassin(s) concerné(s),Sous-Unité(s) DCE concernée(s),Id SISPEA de l'entité de gestion,Nom de l'entité de gestion,Communes adhérentes de l'entité de gestion,EPCI adhérents de l'entité de gestion,Pop communes adhérentes,Pop de l'entité de gestion sans double compte,Communes desservies seulement,Collecte,Transport,Dépollution,Mode de gestion,Statut de l'opérateur,Nom de l'opérateur,Date de début de contrat,Date de fin de contrat,Nb d'ouvrages - STEU,Convention de délégation de compétences,Date de début de la convention de délégation de compétences,Date de fin de la convention de délégation de compétences,Statut,Origine saisie des IP,Origine publication des IP,Id SISPEA ouvrage,Nom ouvrage,Code SANDRE ouvrage,D203.0,P203.3,P204.3,P205.3,P206.3,P254.3,VP.176,VP.209,VP.210,VP.211
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,39247,assainissement collectif,63,0,481320,454659,10,1,1,1,Régie,Régie à autonomie financière,,,,6,Non,,,Confirmé / publié,la collectivité,la collectivité,2672,Station d'épuration GRENOBLE / AQUAPOLE,060938170002,8834,100,100,100,100,"97,2",19393,8834,350,360
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,39247,assainissement collectif,63,0,481320,454659,10,1,1,1,Régie,Régie à autonomie financière,,,,6,Non,,,Confirmé / publié,la collectivité,la collectivité,2671,Station d'épuration LE GUA / PRELENFREY,060938187001,0,100,100,100,,100,"3,2",,2,2
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,39247,assainissement collectif,63,0,481320,454659,10,1,1,1,Régie,Régie à autonomie financière,,,,6,Non,,,Confirmé / publié,la collectivité,la collectivité,2529,Station d'épuration MIRIBEL-LANCHATRE,060938235001,0,100,100,100,,100,"1,9",,2,2
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,39247,assainissement collectif,63,0,481320,454659,10,1,1,1,Régie,Régie à autonomie financière,,,,6,Non,,,Confirmé / publié,la collectivité,la collectivité,2652,Station d'épuration NOTRE-DAME-DE-COMMIERS,060938277001,0,0,0,0,,100,27,,2,2
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,39247,assainissement collectif,63,0,481320,454659,10,1,1,1,Régie,Régie à autonomie financière,,,,6,Non,,,Confirmé / publié,la collectivité,la collectivité,151818,Station d'épuration QUAIX-EN-CHARTREUSE,060938328001,0,100,100,100,,100,"5,33",,2,2
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,39247,assainissement collectif,63,0,481320,454659,10,1,1,1,Régie,Régie à autonomie financière,,,,6,Non,,,Confirmé / publié,la collectivité,la collectivité,165221,Station d'épuration QUAIX-EN-CHARTREUSE - Sous la Frette,060938328002,0,100,100,100,,100,"1,8",,2,2
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,35725,Aboen- La Bruyère,0442001S0001,0,100,100,100,,100,15,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,35724,Aboen- Le Bourg,04420001S003,0,100,100,100,,100,15,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,35726,Aboen- Montcoudiol,0442001S0002,0,,,,,100,"4,8",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,35812,Cellieu- Thonérieux,0442032S0001,0,,,,,100,"4,2",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,35821,Chagnon- Leymieux - Le Trève,060942036001,0,100,100,100,,100,"40,8",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,195301,Firminy- le Pertuiset,0442095S0002,1379,100,100,0,100,"94,5",8605,1379,104,110
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,35935,Fontanès- Les Sallons,0442096S0001,0,100,100,100,,100,39,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,35938,La Fouillouse- Moulin St Paul,0442097S0001,"20,9",100,0,0,100,"92,3",409,"20,94",12,13
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,35937,La Fouilouse- le BESSY,0442097S0003,0,,,,,100,3,,1,1
