DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,N° SIREN,N° INSEE si commune,Communes membres de la coll,Avec ou sans CCSPL,Agence(s) de l'eau,Bassin(s) concerné(s),Sous-Unité(s) DCE concernée(s),Id SISPEA de l'entité de gestion,Code UGE de l'entité de gestion,Nom de l'entité de gestion,Communes adhérentes de l'entité de gestion,EPCI adhérents de l'entité de gestion,Pop communes adhérentes,Pop de l'entité de gestion sans double compte,Communes desservies seulement,Production,Transfert,Distribution,Mode de gestion,Statut de l'opérateur,Nom de l'opérateur,Date de début de contrat,Date de fin de contrat,Nb d'ouvrages - Prélèvement,Convention de délégation de compétences,Date de début de la convention de délégation de compétences,Date de fin de la convention de délégation de compétences,Statut,Origine saisie des IP,Origine publication des IP,D101.0,Verif_D101.0,CalculAuto_D101.0,D102.0,Verif_D102.0,CalculAuto_D102.0,D151.0,Verif_D151.0,CalculAuto_D151.0,P101.1,Verif_P101.1,CalculAuto_P101.1,P102.1,Verif_P102.1,CalculAuto_P102.1,P103.2B,Verif_P103.2B,CalculAuto_P103.2B,P104.3,Verif_P104.3,CalculAuto_P104.3,P105.3,Verif_P105.3,CalculAuto_P105.3,P106.3,Verif_P106.3,CalculAuto_P106.3,P107.2,Verif_P107.2,CalculAuto_P107.2,P108.3,Verif_P108.3,CalculAuto_P108.3,P109.0,Verif_P109.0,CalculAuto_P109.0,P151.1,Verif_P151.1,CalculAuto_P151.1,P152.1,Verif_P152.1,CalculAuto_P152.1,P153.2,Verif_P153.2,CalculAuto_P153.2,P154.0,Verif_P154.0,CalculAuto_P154.0,P155.1,Verif_P155.1,CalculAuto_P155.1,VP.056,VP.177,VP.190,VP.178,VP.191,VP.179,VP.213,VP.214,VP.215,VP.216,VP.219,DC.184,DC.195,VP.183,VP.182,VP.119,VP.185,VP.020,VP.003,VP.152,VP.059,VP.060,VP.061,VP.193,VP.063,VP.201,VP.220,VP.221,DC.192,VP.077,VP.140,VP.141,VP.224,VP.225,VP.226,VP.227,VP.228,VP.229,VP.231,VP.232,VP.234,VP.062,VP.126,VP.127,VP.128,VP.129,VP.194,VP.212,VP.223,VP.235,VP.236,VP.237,VP.238,VP.239,VP.240,VP.241,VP.242,VP.243,VP.244,VP.245,VP.246,VP.247,VP.248,VP.249,VP.263,VP.264,VP.268
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,80293,0420043,eau potable : Fraisses,1,0,3723,3723,0,1,1,1,Régie,Régie à autonomie financière,,2002-10-01 12:00am,,0,Non,,,Confirmé / publié,la collectivité,la collectivité,3773,Sans anomalie apparente,0,"2,32",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,40,Sans anomalie apparente,1,"83,7",Sans anomalie apparente,1,"1,8",Sans anomalie apparente,1,"1,8",Sans anomalie apparente,1,,Non vérifié,1,40,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,,Non vérifié,1,"2,69",Sans anomalie apparente,0,,Non vérifié,0,1950,,,236,32,"42,1","5,5",,,"0,23",,,,,,,,,,,0,169680,0,40,142000,,,,,"42,3",,,"9,2","76,59","66,84","71,84","46,1","1,93","72,82",142000,169680,0,14,0,15,0,,,,0,1,1,1,80,1,75,,,,,,,,,15,40,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Rhône-Méditerranée-Corse,FRD,FRD_RHON,80451,0420003,eau potable : Génilac,1,0,3896,3896,0,0,1,1,Délégation,Entreprise privée,VEOLIA,2018-09-01 12:00pm,2025-04-17 12:00pm,0,Non,,,Confirmé / publié,la collectivité,la collectivité,3982,Sans anomalie apparente,0,"3,24",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,97,Sans anomalie apparente,1,"80,8",Sans anomalie apparente,1,"3,4",Sans anomalie apparente,1,"3,3",Sans anomalie apparente,1,,Non vérifié,1,60,Sans anomalie apparente,1,,Non vérifié,1,"1,19",Sans anomalie apparente,1,100,Sans anomalie apparente,0,,Non vérifié,0,"1,1",Sans anomalie apparente,0,0,Sans anomalie apparente,0,1676,"237,85","34,15","82,4",0,"68,25","5,5",,"0,12","0,28",,,,,,,,2,,,0,188152,0,60,151251,,187,500,,"29,71",,,"14,01","84,76","67,8","72,8","56,41","2,38","90,25",151251,188152,0,10,0,10,0,,,,0,1,1,1,95,1,75,0,1,1,1,1,1,0,1,15,42,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,80279,0420016,eau potable : L'Etrat,1,0,2531,2531,0,1,1,1,Délégation,Entreprise privée,Véolia,,2022-12-31 12:00pm,0,Non,,,Confirmé / publié,la collectivité,la collectivité,2685,Sans anomalie apparente,0,"2,92",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,42,Sans anomalie apparente,1,"92,7",Sans anomalie apparente,1,"1,3",Sans anomalie apparente,1,"1,3",Sans anomalie apparente,1,,Non vérifié,1,80,Sans anomalie apparente,1,,Non vérifié,1,"2,6",Sans anomalie apparente,1,,Non vérifié,0,,Non vérifié,1,"0,32",Sans anomalie apparente,0,"1,3",Sans anomalie apparente,0,1541,"79,68","44,78","224,87","3,05","45,87","5,5",,,"0,23",,,,,,,,4,,,0,212102,0,80,195717,,322,500,,"33,63",,,"16,01","89,11","68,2","73,2","45,82","1,74","127,01",195717,212102,0,10,0,11,0,,,,0,1,1,1,95,1,75,,,,,,,,,15,42,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,80289,0420131,eau potable : La Fouillouse,1,0,4501,2250,0,0,1,1,Délégation,Entreprise privée,SUEZ,2013-01-01 12:00pm,2020-12-31 12:00pm,0,Non,,,Vérifié,la collectivité,la collectivité,4589,Sans anomalie apparente,0,"3,17",Sans anomalie apparente,1,100,Sans anomalie apparente,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,105,Sans anomalie apparente,1,"93,2",Sans anomalie apparente,1,1,Sans anomalie apparente,1,"0,7",Sans anomalie apparente,1,,,,80,Sans anomalie apparente,1,,,,,,,,,,,,,"1,11",Sans anomalie apparente,0,"4,39",Sans anomalie apparente,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,80295,0420130,eau potable : La Gimond,1,0,277,277,0,1,1,1,Régie,Régie à autonomie financière,,,,0,Non,,,Confirmé / publié,la collectivité,la collectivité,288,Sans anomalie apparente,0,"4,12",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,40,Sans anomalie apparente,1,67,Sans anomalie apparente,1,"2,3",Sans anomalie apparente,1,"2,1",Sans anomalie apparente,1,,Non vérifié,1,80,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,,Non vérifié,1,"0,06",Sans anomalie apparente,0,,Non vérifié,1,119,,,"441,4",31,"53,39","5,5",,,"0,23",,,,,,,,,,,0,13807,0,80,8852,,400,,,6,,,"4,22","67,39","65,84","70,84","19,83","2,42","74,39",8852,13807,0,3,0,3,0,,,,0,1,1,1,85,1,75,,,,,,,,,15,40,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Rhône-Méditerranée-Corse,FRD,FRD_RHON,80300,0420005,eau potable : La Grand Croix,1,0,5136,5136,0,0,1,1,Délégation,Entreprise privée,CHOLTON SERVICE RESEAUX,2011-11-01 12:00pm,2024-12-31 12:00pm,0,Non,,,Confirmé / publié,la collectivité,la collectivité,5209,Sans anomalie apparente,0,"2,22",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,90,Sans anomalie apparente,1,"83,9",Sans anomalie apparente,1,"4,5",Sans anomalie apparente,1,"4,1",Sans anomalie apparente,1,,Non vérifié,1,60,Sans anomalie apparente,1,,Non vérifié,1,"5,2",Sans anomalie apparente,0,100,Sans anomalie apparente,0,,Non vérifié,1,"2,72",Sans anomalie apparente,0,"0,82",Sans anomalie apparente,0,2213,"168,2","25,46","31,2",0,"66,42","5,5",,"0,158","0,28",,,,,,,,,,,0,269646,18869,60,203631,,3700,,,"28,89",,,"21,45","83,03","69,29","74,29","76,6","2,35","92,02",203631,269646,,12,0,14,0,,,,0,1,1,1,85,1,75,,1,1,1,1,1,,,15,40,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,80398,0420035,eau potable : La Ricamarie,1,0,7906,7906,0,0,1,1,Régie,Régie à autonomie financière,,,,0,Non,,,Confirmé / publié,la collectivité,la collectivité,7937,Sans anomalie apparente,0,"3,08",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,40,Sans anomalie apparente,1,"80,2",Sans anomalie apparente,1,"4,6",Sans anomalie apparente,1,"4,6",Sans anomalie apparente,1,,Non vérifié,1,80,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,,Non vérifié,1,"15,24",Sans anomalie apparente,0,,Non vérifié,1,3740,,,"322,6",31,"46,86","5,5",,,"0,23",,,,,,,,,,,0,362177,0,80,259945,30184,281,,,"43,2",,,"18,42","80,52","68,68","73,68","86,57","2,12","77,57",290129,362177,0,20,0,20,0,,,,0,1,1,1,80,1,75,,,,,,,,,15,40,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Rhône-Méditerranée-Corse,FRD,FRD_RHON,80571,0420104,eau potable : La Valla en Gier,1,0,1042,1042,0,1,1,1,Régie,Régie à autonomie financière,,,,11,Non,,,Confirmé / publié,la collectivité,la collectivité,1091,Sans anomalie apparente,0,"2,43",Sans anomalie apparente,1,,Non vérifié,0,"68,2",Sans anomalie apparente,1,100,Sans anomalie apparente,1,80,Sans anomalie apparente,1,"80,3",Sans anomalie apparente,1,1,Sans anomalie apparente,1,1,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,,Non vérifié,1,"4,64",Sans anomalie apparente,0,,Non vérifié,1,405,,,"235,2",60,"56,99","5,5",,"0,068","0,28",,,,,,,,,,,34640,1754,0,60,29228,,,,,"20,5",,,"3,91","76,56","65,78","70,78","19,76","2,69","72,17",29228,36394,34640,22,7,22,0,,,,0,1,1,1,82,1,70,,1,1,1,1,,,0,15,40,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,80227,0420036,eau potable : Le Chambon Feugerolles,1,0,12317,12317,0,0,1,1,Régie,Régie à autonomie financière,,,,1,Non,,,Confirmé / publié,la collectivité,la collectivité,12279,Sans anomalie apparente,0,"2,49",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,88,Sans anomalie apparente,1,"73,6",Sans anomalie apparente,1,"6,2",Sans anomalie apparente,1,"5,3",Sans anomalie apparente,1,,Non vérifié,1,80,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,,Non vérifié,1,"7,15",Sans anomalie apparente,0,,Non vérifié,1,5497,,,"248,8","42,4","49,77","5,5",,"0,055","0,23",,,,,,,,,,,0,701881,0,80,484662,,24900,6800,,"95,49",,,"14,82","70,89","67,96","72,96","57,57","2,23","88,17",484662,701881,,25,0,27,0,,,,0,1,1,1,90,1,90,1,1,0,0,0,1,1,1,15,43,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Rhône-Méditerranée-Corse,FRD,FRD_RHON,80325,0420004,eau potable : Lorette,1,0,4700,4700,0,0,1,1,Délégation,Entreprise privée,Stéphanoise des Eau,2013-01-01 12:00pm,2024-12-31 12:00pm,0,Non,,,Confirmé / publié,la collectivité,la collectivité,4715,Sans anomalie apparente,0,"1,9",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,95,Sans anomalie apparente,1,"85,4",Sans anomalie apparente,1,"8,2",Sans anomalie apparente,1,"7,9",Sans anomalie apparente,1,,Non vérifié,1,60,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,0,100,Sans anomalie apparente,0,,Non vérifié,1,"2,22",Sans anomalie apparente,0,"4,01",Sans anomalie apparente,1,2247,"169,48","24,09","13,09","2,29","45,49","5,5",,,"0,28",,,,,,,,,9,,0,552054,159289,60,308518,,2350,1236,,"28,15",,,"45,88","89,2","74,18","79,18","79,82","2,1","137,3",308518,552054,0,12,0,12,0,,,,0,1,1,1,99,1,99,0,1,1,1,1,1,0,0,15,45,
