DPT de la commune,Nom de la commune adhérente,Identifiant SISPEA de la commune adhérente,Code INSEE de la commune adhérente,Population de la commune,Type d'adhésion,Nom de la collectivité via laquelle la commune adhère,N° SIREN de la collectivité via laquelle la commune adhère,Identifiant SISPEA de la collectivité via laquelle la commune adhère,Nom de la collectivité de l'entité de gestion à laquelle la commune adhère,Identifiant SISPEA de la collectivité de l'entité de gestion à laquelle la commune adhère,Type de collectivité,N° SIREN,Avec ou sans CCSPL,Compétence,Nom de l'entité de gestion à laquelle la commune adhère,Identifiant SISPEA de l'entité de gestion à laquelle la commune adhère,Code UGE (eau potabe),Zone tarifaire 1,Tarif zone tarifaire 1,Zone tarifaire 2,Tarif zone tarifaire 2,Zone tarifaire 3,Tarif zone tarifaire 3,Zone tarifaire 4,Tarif zone tarifaire 4,Zone tarifaire 5,Tarif zone tarifaire 5
76,Rouen,31640,76540,110145,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Maromme,31512,76410,10908,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Canteleu,31261,76157,14181,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Sotteville-lès-Rouen,31777,76681,28965,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Sahurs,31650,76550,1226,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Sotteville-sous-le-Val,31778,76682,791,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Caudebec-lès-Elbeuf,31269,76165,10335,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Les Authieux-sur-le-Port-Saint-Ouen,31146,76039,1265,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Saint-Aubin-Celloville,31658,76558,1057,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Le Mesnil-Esnard,31531,76429,7967,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Saint-Aubin-Épinay,31660,76560,1033,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Saint-Aubin-lès-Elbeuf,31661,76561,8309,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Le Mesnil-sous-Jumièges,31538,76436,639,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Cléon,31282,76178,4994,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Gouy,31415,76313,869,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Tourville-la-Rivière,31800,76705,2501,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Saint-Étienne-du-Rouvray,31675,76575,28641,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Bardouville,31163,76056,639,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Le Trait,31804,76709,4942,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Grand-Couronne,31421,76319,9648,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Montmain,31550,76448,1314,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Le Grand-Quevilly,31424,76322,25698,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Mont-Saint-Aignan,31553,76451,18850,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Val-de-la-Haye,31812,76717,710,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Belbeuf,31175,76069,2201,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Moulineaux,31559,76457,944,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Saint-Jacques-sur-Darnétal,31690,76591,2835,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,La Neuville-Chant-d'Oisel,31566,76464,2240,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Saint-Léger-du-Bourg-Denis,31698,76599,3450,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Darnétal,31316,76212,9707,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Notre-Dame-de-Bondeville,31575,76474,7015,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Franqueville-Saint-Pierre,31576,76475,6123,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Déville-lès-Rouen,31320,76216,10492,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Sainte-Marguerite-sur-Duclair,31706,76608,2028,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Berville-sur-Seine,31194,76088,559,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Hautot-sur-Seine,31452,76350,413,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Duclair,31326,76222,4198,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Hénouville,31456,76354,1302,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Saint-Martin-de-Boscherville,31712,76614,1521,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Bihorel,31201,76095,8398,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Oissel-sur-Seine,31585,76484,11895,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Orival,31587,76486,913,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Saint-Martin-du-Vivier,31715,76617,1629,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Yainville,31844,76750,1050,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Ymare,31847,76753,1154,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Elbeuf,31335,76231,16166,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Bonsecours,31208,76103,6462,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Le Houlme,31468,76366,4050,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Épinay-sur-Duclair,31341,76237,529,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Yville-sur-Seine,31853,76759,451,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Bois-Guillaume,31213,76108,13796,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Houppeville,31469,76367,2784,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Petit-Couronne,31598,76497,8619,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Le Petit-Quevilly,31599,76498,21995,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Saint-Paër,31729,76631,1346,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Saint-Pierre-de-Manneville,31731,76634,921,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Saint-Pierre-de-Varengeville,31733,76636,2338,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Boos,31221,76116,3810,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Isneauville,31479,76377,3158,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Jumièges,31480,76378,1719,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Saint-Pierre-lès-Elbeuf,31737,76640,8202,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Quevillon,31614,76513,598,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
76,Quévreville-la-Poterie,31615,76514,992,Adhérent direct,,,,METROPOLE ROUEN NORMANDIE (MRN),92876,Métropole,200023414,Oui,eau potable,eau potable,306174,,Indicateur tarif,"2,04",,,,,,,,
