DPT de la commune,Nom de la commune adhérente,Identifiant SISPEA de la commune adhérente,Code INSEE de la commune adhérente,Population de la commune,Type d'adhésion,Nom de la collectivité via laquelle la commune adhère,N° SIREN de la collectivité via laquelle la commune adhère,Identifiant SISPEA de la collectivité via laquelle la commune adhère,Nom de la collectivité de l'entité de gestion à laquelle la commune adhère,Identifiant SISPEA de la collectivité de l'entité de gestion à laquelle la commune adhère,Type de collectivité,N° SIREN,Avec ou sans CCSPL,Compétence,Nom de l'entité de gestion à laquelle la commune adhère,Identifiant SISPEA de l'entité de gestion à laquelle la commune adhère,Code UGE (eau potabe),Zone tarifaire 1,Tarif zone tarifaire 1,Zone tarifaire 2,Tarif zone tarifaire 2,Zone tarifaire 3,Tarif zone tarifaire 3,Zone tarifaire 4,Tarif zone tarifaire 4,Zone tarifaire 5,Tarif zone tarifaire 5
38,Saint-Paul-de-Varces,15386,38436,2173,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Fontaine,15132,38169,22523,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Fontanil-Cornillon,15133,38170,2710,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Poisat,15263,38309,2168,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Saint-Pierre-de-Mésage,15394,38445,764,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Gières,15141,38179,6779,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Le Pont-de-Claix,15271,38317,10435,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Grenoble,15147,38185,158454,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Le Gua,15149,38187,1779,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Herbeys,15150,38188,1361,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Proveysieux,15279,38325,507,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Quaix-en-Chartreuse,15281,38328,893,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Bresson,15030,38057,684,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Brié-et-Angonnes,15032,38059,2556,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Jarrie,15161,38200,3746,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Le Sappey-en-Chartreuse,15418,38471,1121,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Sarcenas,15419,38472,189,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Sassenage,15421,38474,11376,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Séchilienne,15424,38478,1052,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Champagnier,15041,38068,1226,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Champ-sur-Drac,15044,38071,3007,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Seyssinet-Pariset,15430,38485,12013,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Seyssins,15431,38486,7685,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Meylan,15186,38229,17129,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Saint-Barthélemy-de-Séchilienne,15317,38364,433,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Miribel-Lanchâtre,15190,38235,433,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,La Tronche,15456,38516,6596,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Montchaboud,15206,38252,339,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Saint-Égrève,15334,38382,15838,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Varces-Allières-et-Risset,15464,38524,8250,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Claix,15081,38111,7932,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Saint-Georges-de-Commiers,15339,38388,2276,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Vaulnaveys-le-Bas,15468,38528,1282,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Mont-Saint-Martin,15212,38258,79,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Vaulnaveys-le-Haut,15469,38529,3867,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Venon,15473,38533,729,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Corenc,15093,38126,4013,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Le Versoud,15478,38538,4818,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Veurey-Voroize,15480,38540,1438,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Murianette,15225,38271,882,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Vif,15485,38545,8532,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Villard-Bonnot,15487,38547,7107,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Notre-Dame-de-Commiers,15231,38277,518,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
42,Sainte-Croix-en-Jarez,16878,42210,478,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Sainte Croix en Jarez,80427,0420115,Indicateur tarif,"2,38",,,,,,,,
42,Saint-Paul-en-Cornillon,16934,42270,1364,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint Paul en Cornillon,80503,0420044,Indicateur tarif,"3,14",,,,,,,,
42,La Grand-Croix,16774,42103,5136,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : La Grand Croix,80300,0420005,Indicateur tarif,"2,22",,,,,,,,
42,Lorette,16793,42123,4700,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Lorette,80325,0420004,Indicateur tarif,"1,9",,,,,,,,
42,Châteauneuf,16726,42053,1599,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Chateauneuf,80239,0420002,Indicateur tarif,"3,32",,,,,,,,
42,Doizieux,16756,42085,831,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Dorlay,80616,0420099,Indicateur tarif,"3,64",,,,,,,,
42,La Terrasse-sur-Dorlay,16971,42308,785,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Dorlay,80616,0420099,Indicateur tarif,"3,64",,,,,,,,
42,Farnay,16764,42093,1408,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Dorlay,80616,0420099,Indicateur tarif,"3,64",,,,,,,,
42,Saint-Paul-en-Jarez,16935,42271,4844,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint Paul en Jarez,80505,0420006,Indicateur tarif,"2,57",,,,,,,,
42,Saint-Joseph,16910,42242,1901,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint Joseph,80472,0420154,Indicateur tarif,"2,88",,,,,,,,
42,Saint-Chamond,16875,42207,34967,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint-Chamond-L'Horme,80656,0420039,Indicateur tarif,"2,36",,,,,,,,
42,L' Horme,16781,42110,4790,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint-Chamond-L'Horme,80656,0420039,Indicateur tarif,"2,36",,,,,,,,
42,L' Étrat,16763,42092,2531,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : L'Etrat,80279,0420016,Indicateur tarif,"2,92",,,,,,,,
42,Fontanès,16767,42096,678,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Fontanès,80287,0420017,Indicateur tarif,"4,17",,,,,,,,
42,Caloire,16704,42031,316,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Caloire,80209,0420046,Indicateur tarif,"3,66",,,,,,,,
42,Fraisses,16770,42099,3723,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Fraisses,80293,0420043,Indicateur tarif,"2,32",,,,,,,,
42,Marcenod,16803,42133,710,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Marcenod,80337,0420094,Indicateur tarif,"2,71",,,,,,,,
42,Saint-Bonnet-les-Oules,16874,42206,1638,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint Bonnet les Oules,80421,0420162,Indicateur tarif,"3,14",,,,,,,,
42,Firminy,16766,42095,17135,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Firminy,80286,0420045,Indicateur tarif,"2,15",,,,,,,,
42,La Fouillouse,16768,42097,4501,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : La Fouillouse,80289,0420131,Indicateur tarif,"3,17",,,,,,,,
42,Saint-Galmier,16890,42222,5722,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint Galmier,80444,0420049,Indicateur tarif,"2,49",,,,,,,,
42,Andrézieux-Bouthéon,16679,42005,9790,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Andrezieux Bouthéon,80175,0420008,Indicateur tarif,"1,47",,,,,,,,
42,Genilac,16893,42225,3896,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Génilac,80451,0420003,Indicateur tarif,"3,24",,,,,,,,
42,Chamboeuf,16716,42043,1711,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Chamboeuf,80224,0420157,Indicateur tarif,"2,86",,,,,,,,
42,Villars,16992,42330,7970,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Villars,80584,0420015,Indicateur tarif,"2,73",,,,,,,,
42,La Gimond,16771,42100,277,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : La Gimond,80295,0420130,Indicateur tarif,"4,12",,,,,,,,
42,La Valla-en-Gier,16984,42322,1042,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : La Valla en Gier,80571,0420104,Indicateur tarif,"2,43",,,,,,,,
42,Rive-de-Gier,16855,42186,15184,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Rive de Gier,80400,0420007,Indicateur tarif,"2,3",,,,,,,,
42,Saint-Étienne,16886,42218,172565,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint Etienne,80438,0420067,Indicateur tarif,"1,39",,,,,,,,
42,La Tour-en-Jarez,16973,42311,1479,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint Etienne,80438,0420067,Indicateur tarif,"1,39",,,,,,,,
42,Saint-Priest-en-Jarez,16939,42275,6120,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint Priest en Jarez,80513,0420010,Indicateur tarif,"2,51",,,,,,,,
42,Saint-Héand,16902,42234,3592,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Saint Héand,80459,0420144,Indicateur tarif,"3,31",,,,,,,,
42,Sorbiers,16965,42302,7933,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : la régie du Furan,262234,,Indicateur tarif,3,,,,,,,,
42,La Talaudière,16968,42305,6860,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : la régie du Furan,262234,,Indicateur tarif,3,,,,,,,,
42,Saint-Jean-Bonnefonds,16905,42237,6638,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : la régie du Furan,262234,,Indicateur tarif,3,,,,,,,,
42,Unieux,16978,42316,8597,Adhérent direct,,,,SAINT-ETIENNE METROPOLE,198243,Métropole,244200770,Oui,eau potable,eau potable : Unieux,80562,0420112,Indicateur tarif,"3,17",,,,,,,,
