Code du département,Libellé du département,Code de la commune,Libellé de la commune,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Non-Exprimés,% Non-Exp/Ins,% Non-Exp/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Année,Numéro de tour
42,Loire,259,Saint-Martin-la-Plaine,2718,1895,69.72,823,30.28,75,2.76,9.11,748,27.52,90.89,2020,1
42,Loire,262,Saint-Maurice-en-Gourgois,1230,760,61.79,470,38.21,25,2.03,5.32,445,36.18,94.68,2020,1
42,Loire,266,Saint-Nizier-de-Fornas,511,288,56.36,223,43.64,6,1.17,2.69,217,42.47,97.31,2020,1
42,Loire,270,Saint-Paul-en-Cornillon,1065,569,53.43,496,46.57,12,1.13,2.42,484,45.45,97.58,2020,1
42,Loire,271,Saint-Paul-en-Jarez,3123,1615,51.71,1508,48.29,55,1.76,3.65,1453,46.53,96.35,2020,1
42,Loire,275,Saint-Priest-en-Jarez,3839,2933,76.4,906,23.6,100,2.6,11.04,806,21.0,88.96,2020,1
42,Loire,283,Saint-Romain-en-Jarez,973,636,65.36,337,34.64,57,5.86,16.91,280,28.78,83.09,2020,1
42,Loire,302,Sorbiers,6053,3614,59.71,2439,40.29,40,0.66,1.64,2399,39.63,98.36,2020,1
42,Loire,305,La Talaudière,4476,2414,53.93,2062,46.07,40,0.89,1.94,2022,45.17,98.06,2020,1
42,Loire,307,Tartaras,598,185,30.94,413,69.06,8,1.34,1.94,405,67.73,98.06,2020,1
42,Loire,308,La Terrasse-sur-Dorlay,542,322,59.41,220,40.59,6,1.11,2.73,214,39.48,97.27,2020,1
42,Loire,311,La Tour-en-Jarez,883,562,63.65,321,36.35,27,3.06,8.41,294,33.3,91.59,2020,1
42,Loire,316,Unieux,5996,3537,58.99,2459,41.01,62,1.03,2.52,2397,39.98,97.48,2020,1
42,Loire,320,Valfleury,456,222,48.68,234,51.32,2,0.44,0.85,232,50.88,99.15,2020,1
42,Loire,322,La Valla-en-Gier,701,440,62.77,261,37.23,24,3.42,9.2,237,33.81,90.8,2020,1
42,Loire,330,Villars,6043,3149,52.11,2894,47.89,50,0.83,1.73,2844,47.06,98.27,2020,1
76,Seine-Maritime,005,Amfreville-la-Mi-Voie,2168,1174,54.15,994,45.85,22,1.01,2.21,972,44.83,97.79,2020,1
76,Seine-Maritime,020,Anneville-Ambourville,981,534,54.43,447,45.57,49,4.99,10.96,398,40.57,89.04,2020,1
76,Seine-Maritime,039,Les Authieux-sur-le-Port-Saint-Ouen,987,606,61.4,381,38.6,43,4.36,11.29,338,34.25,88.71,2020,1
76,Seine-Maritime,056,Bardouville,466,225,48.28,241,51.72,9,1.93,3.73,232,49.79,96.27,2020,1
76,Seine-Maritime,069,Belbeuf,1884,1258,66.77,626,33.23,41,2.18,6.55,585,31.05,93.45,2020,1
76,Seine-Maritime,088,Berville-sur-Seine,396,211,53.28,185,46.72,8,2.02,4.32,177,44.7,95.68,2020,1
76,Seine-Maritime,095,Bihorel,5927,3295,55.59,2632,44.41,59,1.0,2.24,2573,43.41,97.76,2020,1
76,Seine-Maritime,103,Bonsecours,5022,2777,55.3,2245,44.7,42,0.84,1.87,2203,43.87,98.13,2020,1
76,Seine-Maritime,108,Bois-Guillaume,10311,6017,58.36,4294,41.64,97,0.94,2.26,4197,40.7,97.74,2020,1
76,Seine-Maritime,116,Boos,2919,1437,49.23,1482,50.77,46,1.58,3.1,1436,49.19,96.9,2020,1
76,Seine-Maritime,131,La Bouille,506,285,56.32,221,43.68,6,1.19,2.71,215,42.49,97.29,2020,1
76,Seine-Maritime,157,Canteleu,8762,6491,74.08,2271,25.92,328,3.74,14.44,1943,22.18,85.56,2020,1
76,Seine-Maritime,165,Caudebec-lès-Elbeuf,6493,4463,68.74,2030,31.26,232,3.57,11.43,1798,27.69,88.57,2020,1
76,Seine-Maritime,178,Cléon,3155,1686,53.44,1469,46.56,31,0.98,2.11,1438,45.58,97.89,2020,1
76,Seine-Maritime,212,Darnétal,5794,3707,63.98,2087,36.02,72,1.24,3.45,2015,34.78,96.55,2020,1
