Code du département,Libellé du département,Code de la commune,Libellé de la commune,Code B.Vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N.Pan.,Code Nuance,Sexe
38,Isère,421,Saint-Martin-d'Hères,17,967,672,69.49,295,30.51,3,0.31,1.02,1,0.1,0.34,291,30.09,98.64,1,LUC,M
38,Isère,421,Saint-Martin-d'Hères,18,769,540,70.22,229,29.78,0,0.0,0.0,5,0.65,2.18,224,29.13,97.82,1,LUC,M
38,Isère,421,Saint-Martin-d'Hères,19,936,698,74.57,238,25.43,0,0.0,0.0,11,1.18,4.62,227,24.25,95.38,1,LUC,M
38,Isère,421,Saint-Martin-d'Hères,20,855,605,70.76,250,29.24,1,0.12,0.4,6,0.7,2.4,243,28.42,97.2,1,LUC,M
38,Isère,421,Saint-Martin-d'Hères,21,1135,831,73.22,304,26.78,4,0.35,1.32,6,0.53,1.97,294,25.9,96.71,1,LUC,M
38,Isère,421,Saint-Martin-d'Hères,22,672,442,65.77,230,34.23,6,0.89,2.61,4,0.6,1.74,220,32.74,95.65,1,LUC,M
38,Isère,423,Saint-Martin-le-Vinoux,1,836,513,61.36,323,38.64,11,1.32,3.41,1,0.12,0.31,311,37.2,96.28,1,LDVG,M
38,Isère,423,Saint-Martin-le-Vinoux,2,825,526,63.76,299,36.24,7,0.85,2.34,4,0.48,1.34,288,34.91,96.32,1,LDVG,M
38,Isère,423,Saint-Martin-le-Vinoux,3,897,579,64.55,318,35.45,5,0.56,1.57,8,0.89,2.52,305,34.0,95.91,1,LDVG,M
38,Isère,423,Saint-Martin-le-Vinoux,4,897,463,51.62,434,48.38,11,1.23,2.53,1,0.11,0.23,422,47.05,97.24,1,LDVG,M
38,Isère,436,Saint-Paul-de-Varces,1,1014,401,39.55,613,60.45,11,1.08,1.79,4,0.39,0.65,598,58.97,97.55,1,LNC,M
38,Isère,436,Saint-Paul-de-Varces,2,947,328,34.64,619,65.36,11,1.16,1.78,4,0.42,0.65,604,63.78,97.58,1,LNC,M
38,Isère,445,Saint-Pierre-de-Mésage,1,555,316,56.94,239,43.06,6,1.08,2.51,7,1.26,2.93,226,40.72,94.56,2,NC,M
38,Isère,471,Le Sappey-en-Chartreuse,1,945,282,29.84,663,70.16,6,0.63,0.9,6,0.63,0.9,651,68.89,98.19,1,LNC,M
38,Isère,472,Sarcenas,1,193,21,10.88,172,89.12,0,0.0,0.0,6,3.11,3.49,166,86.01,96.51,2,NC,M
38,Isère,474,Sassenage,1,1335,691,51.76,644,48.24,11,0.82,1.71,8,0.6,1.24,625,46.82,97.05,1,LVEC,M
38,Isère,474,Sassenage,2,897,507,56.52,390,43.48,3,0.33,0.77,3,0.33,0.77,384,42.81,98.46,1,LVEC,M
38,Isère,474,Sassenage,3,901,373,41.4,528,58.6,5,0.55,0.95,4,0.44,0.76,519,57.6,98.3,1,LVEC,M
38,Isère,474,Sassenage,4,961,468,48.7,493,51.3,3,0.31,0.61,6,0.62,1.22,484,50.36,98.17,1,LVEC,M
38,Isère,474,Sassenage,5,936,550,58.76,386,41.24,2,0.21,0.52,4,0.43,1.04,380,40.6,98.45,1,LVEC,M
38,Isère,474,Sassenage,6,864,427,49.42,437,50.58,0,0.0,0.0,3,0.35,0.69,434,50.23,99.31,1,LVEC,M
38,Isère,474,Sassenage,7,894,458,51.23,436,48.77,3,0.34,0.69,3,0.34,0.69,430,48.1,98.62,1,LVEC,M
38,Isère,474,Sassenage,8,1181,647,54.78,534,45.22,5,0.42,0.94,7,0.59,1.31,522,44.2,97.75,1,LVEC,M
38,Isère,478,Séchilienne,1,776,497,64.05,279,35.95,14,1.8,5.02,32,4.12,11.47,233,30.03,83.51,1,LNC,F
