Code_commune_residence,Commune_residence,Code_lieu_travail,Lieu_travail,Actifs_occupes_flux_domicile_travail
35024,Betton,35099,Domloup,5.21
35024,Betton,35107,Ercé-près-Liffré,5.17
35024,Betton,35115,Fougères,84.07
35024,Betton,35120,Gévezé,2.12
35024,Betton,35123,Goven,2.89
35024,Betton,35126,Guichen,7.23
35024,Betton,35128,Guipel,4.35
35024,Betton,35131,L'Hermitage,20.37
35024,Betton,35139,Laillé,4.2
35024,Betton,35150,Lécousse,1.5
35024,Betton,35152,Liffré,55.73
35024,Betton,35161,Louvigné-de-Bais,6.46
35024,Betton,35162,Louvigné-du-Désert,3.02
35024,Betton,35166,Marpiré,4.7
35024,Betton,35173,Melesse,42.3
35024,Betton,35177,La Mézière,49.72
35024,Betton,35178,Mézières-sur-Couesnon,5.8
35024,Betton,35184,Montauban-de-Bretagne,10.96
35024,Betton,35188,Montfort-sur-Meu,15.42
35024,Betton,35189,Montgermont,30.04
35024,Betton,35193,Montreuil-le-Gast,3.61
35024,Betton,35195,Montreuil-sur-Ille,3.61
35024,Betton,35196,Mordelles,2.89
35024,Betton,35197,Mouazé,4.64
35024,Betton,35206,Noyal-Châtillon-sur-Seiche,15.89
35024,Betton,35207,Noyal-sur-Vilaine,39.41
35024,Betton,35210,Pacé,83.16
35024,Betton,35227,Pleumeleuc,5.89
35024,Betton,35228,Pleurtuit,5.61
35024,Betton,35230,Poilley,4.7
35024,Betton,35233,Québriac,5.97
35024,Betton,35238,Rennes,2226.58
35024,Betton,35240,Le Rheu,36.94
35024,Betton,35241,La Richardais,1.23
35024,Betton,35250,Saint-Armel,1.33
35024,Betton,35251,Saint-Aubin-d'Aubigné,35.05
35024,Betton,35253,Saint-Aubin-du-Cormier,10.23
35024,Betton,35257,Maen Roch,4.7
35024,Betton,35264,Saint-Didier,7.15
35024,Betton,35266,Saint-Erblon,5.99
35024,Betton,35274,Saint-Germain-sur-Ille,3.61
35024,Betton,35275,Saint-Gilles,19.7
35024,Betton,35278,Saint-Grégoire,424.78
35024,Betton,35281,Saint-Jacques-de-la-Lande,90.54
35024,Betton,35284,Saint-Jouan-des-Guérets,7.79
35024,Betton,35288,Saint-Malo,47.04
35024,Betton,35304,Saint-Ouen-des-Alleux,4.35
35024,Betton,35315,Saint-Sulpice-la-Forêt,1.09
35024,Betton,35317,Saint-Symphorien,10.0
35024,Betton,35326,Sens-de-Bretagne,4.21
35024,Betton,35327,Servon-sur-Vilaine,5.17
35024,Betton,35330,Taillis,4.03
35024,Betton,35334,Thorigné-Fouillard,52.68
35024,Betton,35337,Tinténiac,34.6
35024,Betton,35338,Torcé,13.48
35024,Betton,35352,Vern-sur-Seiche,40.83
35024,Betton,35353,Vezin-le-Coquet,35.94
35024,Betton,35360,Vitré,35.05
35024,Betton,35363,Pont-Péan,2.89
35024,Betton,37208,Saint-Avertin,1.23
35024,Betton,44035,La Chapelle-sur-Erdre,4.03
35024,Betton,44109,Nantes,5.61
35024,Betton,44114,Orvault,2.2
35024,Betton,44162,Saint-Herblain,6.26
35024,Betton,44186,Sainte-Pazanne,3.61
35024,Betton,45006,Ardon,1.13
35024,Betton,45034,Boigny-sur-Bionne,4.21
35024,Betton,45234,Orléans,3.02
35024,Betton,50259,Juilley,6.79
35024,Betton,50353,Le Mont-Saint-Michel,1.61
35024,Betton,53130,Laval,4.88
35024,Betton,53201,Saint-Berthevin,5.61
35024,Betton,56007,Auray,5.61
35024,Betton,56035,Caro,2.89
35024,Betton,56075,Guer,10.77
35024,Betton,56083,Hennebont,9.4
35024,Betton,59350,Lille,1.09
35024,Betton,67482,Strasbourg,1.5
35024,Betton,68097,Fréland,5.8
35024,Betton,72181,Le Mans,2.17
35024,Betton,74191,Morzine,4.03
35024,Betton,75101,Paris 1er Arrondissement,1.03
35024,Betton,75105,Paris 5e Arrondissement,3.77
35024,Betton,75111,Paris 11e Arrondissement,3.61
35024,Betton,75114,Paris 14e Arrondissement,7.17
35024,Betton,75115,Paris 15e Arrondissement,3.12
35024,Betton,78117,Buc,3.61
35024,Betton,78498,Poissy,4.03
35024,Betton,78551,Saint-Germain-en-Laye,5.61
35024,Betton,86115,Jaunay-Marigny,4.35
35024,Betton,91692,Les Ulis,4.03
35024,Betton,92012,Boulogne-Billancourt,4.2
35024,Betton,92020,Châtillon,3.89
35024,Betton,92040,Issy-les-Moulineaux,2.89
35024,Betton,92050,Nanterre,5.37
35024,Betton,92062,Puteaux,10.75
35024,Betton,93048,Montreuil,5.8
35024,Betton,93073,Tremblay-en-France,10.75
35024,Betton,93078,Villepinte,3.61
35024,Betton,94041,Ivry-sur-Seine,1.09
35024,Betton,94043,Le Kremlin-Bicêtre,5.61
35024,Betton,94065,Rungis,4.21
35024,Betton,95218,Éragny,1.61
35024,Betton,SUC1L,GENEVE,4.7
35032,Bourgbarré,13081,Rognac,4.88
35032,Bourgbarré,13087,Rousset,4.88
35032,Bourgbarré,22197,Pleudihen-sur-Rance,4.65
35032,Bourgbarré,28085,Chartres,4.54
35032,Bourgbarré,29039,Concarneau,4.88
35032,Bourgbarré,35001,Acigné,4.65
35032,Bourgbarré,35002,Amanlis,4.65
35032,Bourgbarré,35012,Bain-de-Bretagne,9.76
35032,Bourgbarré,35016,Baulon,4.76
35032,Bourgbarré,35023,Bédée,4.76
35032,Bourgbarré,35032,Bourgbarré,324.25
35032,Bourgbarré,35033,Bourg-des-Comptes,9.64
35032,Bourgbarré,35037,Bréal-sous-Montfort,9.52
35032,Bourgbarré,35041,Brie,4.88
35032,Bourgbarré,35047,Bruz,127.37
35032,Bourgbarré,35051,Cesson-Sévigné,214.52
35032,Bourgbarré,35054,Chanteloup,4.65
35032,Bourgbarré,35055,Chantepie,70.66
35032,Bourgbarré,35057,La Chapelle-Bouëxic,4.76
35032,Bourgbarré,35059,La Chapelle-des-Fougeretz,4.88
35032,Bourgbarré,35066,Chartres-de-Bretagne,56.25
35032,Bourgbarré,35068,Châteaubourg,18.94
35032,Bourgbarré,35069,Châteaugiron,14.4
35032,Bourgbarré,35076,Chavagne,14.52
35032,Bourgbarré,35088,Corps-Nuds,24.28
35032,Bourgbarré,35090,Crevin,9.65
35032,Bourgbarré,35096,Domagné,5.0
35032,Bourgbarré,35098,La Dominelais,4.88
35032,Bourgbarré,35099,Domloup,14.06
35032,Bourgbarré,35109,Étrelles,4.65
35032,Bourgbarré,35120,Gévezé,4.65
35032,Bourgbarré,35123,Goven,5.0
35032,Bourgbarré,35125,La Guerche-de-Bretagne,4.88
35032,Bourgbarré,35126,Guichen,9.3
35032,Bourgbarré,35131,L'Hermitage,4.54
35032,Bourgbarré,35136,Janzé,66.48
35032,Bourgbarré,35139,Laillé,23.59
35032,Bourgbarré,35149,Lassy,5.0
35032,Bourgbarré,35173,Melesse,4.65
35032,Bourgbarré,35176,Guipry-Messac,14.64
35032,Bourgbarré,35177,La Mézière,14.52
35032,Bourgbarré,35178,Mézières-sur-Couesnon,4.54
35032,Bourgbarré,35188,Montfort-sur-Meu,4.76
35032,Bourgbarré,35204,Nouvoitou,9.42
35032,Bourgbarré,35206,Noyal-Châtillon-sur-Seiche,57.4
35032,Bourgbarré,35207,Noyal-sur-Vilaine,19.17
35032,Bourgbarré,35208,Orgères,47.87
35032,Bourgbarré,35210,Pacé,18.82
35032,Bourgbarré,35212,Pancé,14.52
35032,Bourgbarré,35221,Pléchâtel,4.65
35032,Bourgbarré,35231,Poligné,4.88
35032,Bourgbarré,35238,Rennes,493.9
35032,Bourgbarré,35239,Retiers,19.17
35032,Bourgbarré,35240,Le Rheu,28.94
35032,Bourgbarré,35250,Saint-Armel,4.76
35032,Bourgbarré,35266,Saint-Erblon,23.37
35032,Bourgbarré,35278,Saint-Grégoire,61.94
35032,Bourgbarré,35281,Saint-Jacques-de-la-Lande,81.12
35032,Bourgbarré,35288,Saint-Malo,4.54
35032,Bourgbarré,35327,Servon-sur-Vilaine,4.76
35032,Bourgbarré,35334,Thorigné-Fouillard,13.95
35032,Bourgbarré,35337,Tinténiac,4.65
35032,Bourgbarré,35352,Vern-sur-Seiche,100.04
35032,Bourgbarré,35353,Vezin-le-Coquet,4.76
35032,Bourgbarré,35360,Vitré,23.47
35032,Bourgbarré,44036,Châteaubriant,5.0
35032,Bourgbarré,44109,Nantes,14.64
35032,Bourgbarré,44112,Noyal-sur-Brutz,4.88
35032,Bourgbarré,44146,Rougé,4.88
35032,Bourgbarré,53130,Laval,9.3
35032,Bourgbarré,56075,Guer,4.76
35032,Bourgbarré,56121,Lorient,4.88
35032,Bourgbarré,56228,Saint-Marcel,4.76
35032,Bourgbarré,56231,Saint-Nolff,5.25
35032,Bourgbarré,63116,Combronde,4.88
35032,Bourgbarré,67043,Bischheim,4.88
35032,Bourgbarré,72181,Le Mans,4.88
35032,Bourgbarré,75112,Paris 12e Arrondissement,4.88
35032,Bourgbarré,75118,Paris 18e Arrondissement,4.54
35032,Bourgbarré,77067,Cesson,4.76
35032,Bourgbarré,85146,Montaigu-Vendée,4.76
35032,Bourgbarré,85191,La Roche-sur-Yon,4.88
35032,Bourgbarré,91689,Wissous,4.88
35032,Bourgbarré,92026,Courbevoie,4.88
35032,Bourgbarré,92048,Meudon,4.65
35032,Bourgbarré,92063,Rueil-Malmaison,4.65
35032,Bourgbarré,93070,Saint-Ouen-sur-Seine,4.88
35039,Brécé,03185,Montluçon,5.56
35039,Brécé,35001,Acigné,27.33
35039,Brécé,35024,Betton,5.79
35039,Brécé,35031,La Bouëxière,5.12
35039,Brécé,35032,Bourgbarré,5.12
35039,Brécé,35039,Brécé,127.9
35039,Brécé,35047,Bruz,5.12
35039,Brécé,35051,Cesson-Sévigné,146.82
35039,Brécé,35055,Chantepie,5.12
35039,Brécé,35059,La Chapelle-des-Fougeretz,5.33
35039,Brécé,35066,Chartres-de-Bretagne,10.89
35039,Brécé,35068,Châteaubourg,36.7
35039,Brécé,35069,Châteaugiron,32.46
35039,Brécé,35088,Corps-Nuds,5.12
35039,Brécé,35096,Domagné,5.12
35039,Brécé,35099,Domloup,10.45
35039,Brécé,35101,Dourdain,5.56
35039,Brécé,35109,Étrelles,5.56
35039,Brécé,35121,Gosné,5.33
35039,Brécé,35152,Liffré,20.91
35039,Brécé,35177,La Mézière,5.33
35039,Brécé,35184,Montauban-de-Bretagne,5.56
