annee_universitaire,niveau_geographique,geo_nom,regroupement,rgp_formations_ou_etablissements,secteur,secteur_de_l_etablissement,sexe,sexe_de_l_etudiant,effectif,effectifhdccpge,a_des_effectifs_dut,effectif_dut,a_des_effectifs_ing,effectif_ing,a_des_effectifs_form_ens,effectif_form_ens,a_des_effectifs_apprentis_sts,effectif_apprentis_en_sts,effectif_atlas,niveau_geo,geo_id,reg_id,aca_id,dep_id,uucr_id,rentree,annee
2014-15,Commune,Saint-Égrève,EC_PARAM,Écoles paramédicales et sociales,PU,Établissements publics,2,Feminin,175,0,non,0,non,0,non,0,non,0,175,COMMUNE,38382,R84,A08,D038,UU38701,2014,2015
2014-15,Commune,Fougères,EC_PARAM,Écoles paramédicales et sociales,PU,Établissements publics,1,Masculin,19,0,non,0,non,0,non,0,non,0,19,COMMUNE,35115,R53,A14,D035,UU35401,2014,2015
2014-15,Commune,Rennes,EC_PARAM,Écoles paramédicales et sociales,PR,Établissements privés,2,Feminin,815,0,non,0,non,0,non,0,non,0,815,COMMUNE,35238,R53,A14,D035,UU35701,2014,2015
2012-13,Commune,Saint-Ismier,TOTAL,Total des formations d'enseignement supérieur,PU,Établissements publics,2,Feminin,45,0,non,0,non,0,non,0,non,0,45,COMMUNE,38397,R84,A08,D038,UU38701,2012,2013
2012-13,Commune,Seyssinet-Pariset,TOTAL,Total des formations d'enseignement supérieur,PU,Établissements publics,2,Feminin,112,0,non,0,non,0,non,0,non,0,112,COMMUNE,38485,R84,A08,D038,UU38701,2012,2013
2012-13,Commune,Villemoirieu,TOTAL,Total des formations d'enseignement supérieur,PR,Établissements privés,1,Masculin,26,0,non,0,non,0,non,0,non,0,26,COMMUNE,38554,R84,A08,D038,UU38201,2012,2013
2022-23,Commune,Fougères,EC_COM,"Écoles de commerce, gestion et comptabilité",PR,Établissements privés,1,Masculin,1,1,non,0,non,0,non,0,non,0,1,COMMUNE,35115,R53,A14,D035,UU35401,2022,2023
2022-23,Commune,Grenoble,EC_ART,Écoles supérieures art et culture,PU,Établissements publics,1,Masculin,29,29,non,0,non,0,non,0,non,0,29,COMMUNE,38185,R84,A08,D038,UU38701,2022,2023
2022-23,Commune,Eyzin-Pinet,TOTAL,Total des formations d'enseignement supérieur,PR,Établissements privés,1,Masculin,43,43,non,0,non,0,non,0,oui,43,43,COMMUNE,38160,R84,A08,D038,CR38160,2022,2023
2013-14,Commune,Saint-Égrève,EC_PARAM,Écoles paramédicales et sociales,PU,Établissements publics,1,Masculin,25,0,non,0,non,0,non,0,non,0,25,COMMUNE,38382,R84,A08,D038,UU38701,2013,2014
2013-14,Commune,Grenoble,EC_COM,"Écoles de commerce, gestion et comptabilité",PR,Établissements privés,2,Feminin,2049,0,non,0,non,0,non,0,non,0,2049,COMMUNE,38185,R84,A08,D038,UU38701,2013,2014
2013-14,Commune,Meylan,EC_ART,Écoles supérieures art et culture,PR,Établissements privés,2,Feminin,20,0,non,0,non,0,non,0,non,0,20,COMMUNE,38229,R84,A08,D038,UU38701,2013,2014
