"Géographie";"Niveau Géo";"Âge";"Sexe";"Diplôme";"Indicateur du lieu d’étude";"Mesure du recensement ";"Fréquence";"Statut de l'observation";Période;Valeur
"Bresson";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;23
"Bresson";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;9
"Domène";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;270,78213
"Grenoble";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;49174,7811
"Gières";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;329,08174
"Noyarey";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;1678,08087
"Fontaine";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;2029,03678
"Domène";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;403,16161
"Sarcenas";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;141,82234
"Montchaboud";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;9
"Jarrie";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;285,51953
"Corenc";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;604,76835
"Le Gua";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;105,35726
"Herbeys";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;166,86587
"Gières";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;633,70507
"Le Gua";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;643,28711
"Champagnier";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;18
"Meylan";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;779,60363
"Meylan";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;187,2694
"Poisat";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;1506,97015
"Poisat";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;141,58549
"Poisat";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;206,34467
"Noyarey";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;128,30585
"Montchaboud";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;68
"Fontaine";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;2425,04253
"Échirolles";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;3006,38869
"Brié-et-Angonnes";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;159
"Proveysieux";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;15,26575
"Quaix-en-Chartreuse";"Commune";"15 ans ou plus";"Femme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;16,06972
"Herbeys";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;79,41207
"Champagnier";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;43
"Champ-sur-Drac";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;69,95716
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;1239,21781
"Poisat";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;125,51232
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;267,51412
"Saint-Martin-le-Vinoux";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;1864,44911
"Saint-Martin-d'Hères";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;2322,32553
"Saint-Martin-le-Vinoux";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;383,05542
"Le Sappey-en-Chartreuse";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;11,22638
"Notre-Dame-de-Mésage";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;47,80083
"Saint-Pierre-de-Mésage";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;80,23419
"Claix";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;5460,70429
"Fontanil-Cornillon";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;90,96468
"Eybens";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;314,22292
"Saint-Paul-de-Varces";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;1560
"Quaix-en-Chartreuse";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;28,122
"Miribel-Lanchâtre";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;16,30027
"Miribel-Lanchâtre";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;12,2252
"Miribel-Lanchâtre";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;62,14477
"Poisat";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;732,21765
"Notre-Dame-de-Mésage";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;43,81743
"Bresson";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;57
"Notre-Dame-de-Commiers";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;15,22826
"Montchaboud";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;8
"Saint-Martin-le-Vinoux";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;77,88172
"Eybens";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;3666,92494
"Échirolles";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;1397,12563
"Eybens";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;669,01674
"Saint-Paul-de-Varces";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;97
"Saint-Paul-de-Varces";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;388
"Fontanil-Cornillon";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;183,86768
"Corenc";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;116,72693
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;564,45229
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1044,14618
"Seyssinet-Pariset";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1360,02195
"Champ-sur-Drac";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;204,53173
"Grenoble";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;54461,74457
"Grenoble";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;7120,08155
"Bresson";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;12
"Claix";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;619,94617
"Claix";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;102,93198
"Saint-Martin-d'Hères";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;968,9437
"Fontanil-Cornillon";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;92,90299
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;429,55335
"Poisat";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;157,95772
"Poisat";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;126,72387
"Poisat";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;90,68801
"Seyssinet-Pariset";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;722,73575
"Seyssinet-Pariset";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;664,14322
"Gières";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;216,63824
"Herbeys";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;58,30253
"Notre-Dame-de-Mésage";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;73,69295
"Murianette";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;311,60159
"Notre-Dame-de-Commiers";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;8,12174
"Brié-et-Angonnes";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;24
"Bresson";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;63
"Claix";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;2817,8881
"Claix";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;860,57034
"Saint-Martin-le-Vinoux";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;324,66692
"Saint-Martin-d'Hères";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;3691,83575
"Saint-Martin-d'Hères";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;3135,29178
"Proveysieux";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;24,4252
"Eybens";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;476,27694
"Eybens";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;555,7578
"Fontaine";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;1255,34334
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;1138,53116
"Miribel-Lanchâtre";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;7,13137
"Meylan";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;191,12773
"Jarrie";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;451,40848
"Sassenage";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;492,63119
"Sassenage";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;1312,54793
"Sarcenas";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;10,20305
"Corenc";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;24,73028
"Corenc";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;63,30952
"Corenc";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;37,96546
"Champ-sur-Drac";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;663,65612
"Champagnier";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;112
"Notre-Dame-de-Mésage";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;152,36515
"Quaix-en-Chartreuse";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;67,29194
"Herbeys";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;53,27645
"Le Gua";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;52,67863
"Le Gua";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;212,74062
"Grenoble";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;1947,13058
"Claix";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;140,84452
"Claix";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;1288,97114
"Brié-et-Angonnes";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;156
"Domène";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;671,94084
"Fontanil-Cornillon";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;200,61646
"Saint-Martin-le-Vinoux";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;314,91698
"Corenc";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;48,47135
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;1997,58736
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;859,0562
"Jarrie";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;229,80059
"Jarrie";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;248,04946
"Murianette";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;314,99117
"Notre-Dame-de-Commiers";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;330,96087
"Seyssinet-Pariset";"Commune";"15 ans ou plus";"Femme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;436,85101
"Seyssinet-Pariset";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;706,91285
"Herbeys";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;488,53502
"Gières";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;145,61169
"Claix";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;361,71222
"Quaix-en-Chartreuse";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;30,13072
"Champagnier";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;112
"Bresson";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;502
"Domène";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;308,86324
"Fontaine";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;766,68892
"Notre-Dame-de-Commiers";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;18,27391
"Montchaboud";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;44
"Notre-Dame-de-Commiers";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;161,41957
"Notre-Dame-de-Commiers";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;35,53261
"Notre-Dame-de-Mésage";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;22,90456
"Notre-Dame-de-Mésage";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;85,64315
"Noyarey";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;124,33819
"Miribel-Lanchâtre";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;8,15013
"Miribel-Lanchâtre";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;42,7882
"Le Pont-de-Claix";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1970,46147
"Le Sappey-en-Chartreuse";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;32,65856
"Saint-Barthélemy-de-Séchilienne";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;332
"Saint-Barthélemy-de-Séchilienne";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;95
"Le Gua";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;20,26101
"Seyssins";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;877
"Proveysieux";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;12,2126
"Quaix-en-Chartreuse";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;620,69281
"Proveysieux";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;98,7185
"Champagnier";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;64
"Échirolles";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1890,31116
"Fontaine";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;16443,98665
"Fontaine";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;1429,29828
"Fontanil-Cornillon";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;170,88369
"Saint-Martin-le-Vinoux";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;3892,50375
"Le Sappey-en-Chartreuse";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;703,17961
"Le Sappey-en-Chartreuse";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;42,86436
"Séchilienne";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;71
"Sarcenas";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;21,4264
"Poisat";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;170,87914
"Quaix-en-Chartreuse";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;18,07843
"Notre-Dame-de-Mésage";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;37,84232
"Noyarey";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;222,79465
"Notre-Dame-de-Mésage";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;62,73859
"Saint-Pierre-de-Mésage";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;24,46164
