Logement;EPCI : Grenoble-Alpes-Métropole (200040715);EPCI : Rennes Métropole (243500139);Commune : Bresson (38057);Commune : Brié-et-Angonnes (38059);Commune : Champ-sur-Drac (38071);Commune : Champagnier (38068);Commune : Claix (38111);Commune : Corenc (38126);Commune : Domène (38150);Commune : Échirolles (38151);Commune : Eybens (38158);Commune : Fontaine (38169);Commune : Gières (38179);Commune : Grenoble (38185);Commune : Herbeys (38188);Commune : Jarrie (38200);Commune : La Tronche (38516);Commune : Fontanil-Cornillon (38170);Commune : Le Gua (38187);Commune : Le Pont-de-Claix (38317);Commune : Le Sappey-en-Chartreuse (38471);Commune : Meylan (38229);Commune : Miribel-Lanchâtre (38235);Commune : Mont-Saint-Martin (38258);Commune : Montchaboud (38252);Commune : Murianette (38271);Commune : Notre-Dame-de-Commiers (38277);Commune : Notre-Dame-de-Mésage (38279);Commune : Noyarey (38281);Commune : Poisat (38309);Commune : Proveysieux (38325);Commune : Quaix-en-Chartreuse (38328);Commune : Saint-Barthélemy-de-Séchilienne (38364);Commune : Saint-Égrève (38382);Commune : Saint-Georges-de-Commiers (38388);Commune : Saint-Martin-d'Hères (38421);Commune : Saint-Martin-le-Vinoux (38423);Commune : Saint-Paul-de-Varces (38436);Commune : Saint-Pierre-de-Mésage (38445);Commune : Sarcenas (38472);Commune : Sassenage (38474);Commune : Séchilienne (38478);Commune : Seyssinet-Pariset (38485);Commune : Seyssins (38486);Commune : Varces-Allières-et-Risset (38524);Commune : Vaulnaveys-le-Bas (38528);Commune : Vaulnaveys-le-Haut (38529);Commune : Venon (38533);Commune : Veurey-Voroize (38540);Commune : Vif (38545);Commune : Vizille (38562)
Nombre total de logements en 2022;244849;250684;319;1107;1580;643;3654;1946;3368;17625;4994;11820;4074;101686;657;1821;3425;1619;1009;5155;597;9843;190;49;154;375;222;514;1026;993;272;424;235;8636;1103;18720;2907;926;341;118;5527;590;6136;3603;3112;661;2115;361;650;3953;3993
Part des résidences principales en 2022, en %;87,7;91,1;92,6;93,1;93,6;93,3;94,4;90,8;93,4;92;92,7;91,2;91;82,4;90,1;91,5;84,8;92;78,4;92;75,5;90,9;90,9;91,8;95,8;95,6;90,7;93,9;91,6;94,1;78,9;89,1;73,6;93,4;93,3;92,6;89,9;98,3;91,1;84,7;92,1;70,5;91,9;94,8;92,5;84,7;84,7;93,4;90,6;93,2;86,4
Part des résidences secondaires (y compris les logements occasionnels) en 2022, en %;2,9;3,3;2,6;1,6;1,2;1,7;1,7;2,4;1,3;1,4;1,2;0,8;2,7;4,3;1,9;1,3;3,3;1,3;5,4;0,7;14,6;3,3;7,5;4,1;1,4;1,1;3,1;1,4;2;0,6;10,9;4,7;12,8;1,2;1,6;1,3;1,5;1;2,7;13,5;2,4;15,6;1,3;1,3;1,4;10,1;4,8;2,2;2;1,5;1,5
Part des logements vacants en 2022, en %;9,4;5,5;4,8;5,2;5,1;5;3,9;6,8;5,3;6,6;6;8;6,3;13,3;8;7,1;11,8;6,7;16,2;7,3;9,9;5,7;1,6;4,1;2,8;3,3;6,2;4,7;6,4;5,3;10,2;6,2;13,6;5,4;5,1;6,1;8,6;0,8;6,3;1,8;5,5;13,9;6,8;3,9;6,1;5,2;10,5;4,4;7,4;5,3;12,1
Part des ménages propriétaires de leur résidence principale en 2022, en %;50,1;47,2;82,4;86,7;76,5;85,3;75,7;75,7;59;44,8;60,6;55,2;45;36,4;81,9;71,7;49,5;65,8;83,1;51,9;76,8;61,1;77;86,7;94;77,8;87,5;89,7;79,5;70,9;87,4;84,8;91,3;60,1;84,6;42,2;50,4;89,5;89;80,2;70;88;64,3;73,9;65,8;83,6;74,5;85,5;72,8;69,7;53
Source : Insee, RP2022 exploitation principale en géographie au 01/01/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Revenus;EPCI : Grenoble-Alpes-Métropole (200040715);EPCI : Rennes Métropole (243500139);Commune : Bresson (38057);Commune : Brié-et-Angonnes (38059);Commune : Champ-sur-Drac (38071);Commune : Champagnier (38068);Commune : Claix (38111);Commune : Corenc (38126);Commune : Domène (38150);Commune : Échirolles (38151);Commune : Eybens (38158);Commune : Fontaine (38169);Commune : Gières (38179);Commune : Grenoble (38185);Commune : Herbeys (38188);Commune : Jarrie (38200);Commune : La Tronche (38516);Commune : Fontanil-Cornillon (38170);Commune : Le Gua (38187);Commune : Le Pont-de-Claix (38317);Commune : Le Sappey-en-Chartreuse (38471);Commune : Meylan (38229);Commune : Miribel-Lanchâtre (38235);Commune : Mont-Saint-Martin (38258);Commune : Montchaboud (38252);Commune : Murianette (38271);Commune : Notre-Dame-de-Commiers (38277);Commune : Notre-Dame-de-Mésage (38279);Commune : Noyarey (38281);Commune : Poisat (38309);Commune : Proveysieux (38325);Commune : Quaix-en-Chartreuse (38328);Commune : Saint-Barthélemy-de-Séchilienne (38364);Commune : Saint-Égrève (38382);Commune : Saint-Georges-de-Commiers (38388);Commune : Saint-Martin-d'Hères (38421);Commune : Saint-Martin-le-Vinoux (38423);Commune : Saint-Paul-de-Varces (38436);Commune : Saint-Pierre-de-Mésage (38445);Commune : Sarcenas (38472);Commune : Sassenage (38474);Commune : Séchilienne (38478);Commune : Seyssinet-Pariset (38485);Commune : Seyssins (38486);Commune : Varces-Allières-et-Risset (38524);Commune : Vaulnaveys-le-Bas (38528);Commune : Vaulnaveys-le-Haut (38529);Commune : Venon (38533);Commune : Veurey-Voroize (38540);Commune : Vif (38545);Commune : Vizille (38562)
Nombre de ménages fiscaux en 2021;192079;198948;295;996;1434;530;3336;1636;3008;14718;4571;10263;3139;71309;583;1603;2524;1399;786;4370;418;8521;154;s;147;322;197;476;936;913;207;359;169;7502;976;13676;2346;901;303;87;4991;413;5529;3291;2839;481;1706;321;588;3493;3281
Part des ménages fiscaux imposés en 2021, en %;57,4;57,2;s;76;60;s;71;77;58;46;63;48;62;54;s;71;68;70;s;46;s;70;s;s;s;s;s;s;70;71;s;s;s;63;73;49;58;78;s;s;64;s;61;71;66;s;71;s;s;65;51
Médiane du revenu disponible par unité de consommation en 2021, en euros;23940;24500;34920;32620;24940;31460;29740;37560;24200;19930;25120;20790;26010;22140;32700;28430;30000;27990;26220;20220;31410;30440;27470;s;29550;28880;26970;26290;26880;28010;27350;31990;26140;25910;27370;21160;24020;30530;26760;30770;25750;24000;24820;29300;26780;28710;29360;32850;27510;26090;22530
Taux de pauvreté en 2021, en %;15;13,9;s;s;s;s;5;s;9;24;11;19;10;21;s;6;9;s;s;21;s;7;s;s;s;s;s;s;s;s;s;s;s;10;s;19;15;s;s;s;8;s;10;6;6;s;s;s;s;6;12
Avertissement : Pour des raisons de secret statistique (s) ou de valeur manquante (vm), certains indicateurs peuvent ne pas être renseignés. À cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emploi - Chômage au sens du recensement;EPCI : Grenoble-Alpes-Métropole (200040715);EPCI : Rennes Métropole (243500139);Commune : Bresson (38057);Commune : Brié-et-Angonnes (38059);Commune : Champ-sur-Drac (38071);Commune : Champagnier (38068);Commune : Claix (38111);Commune : Corenc (38126);Commune : Domène (38150);Commune : Échirolles (38151);Commune : Eybens (38158);Commune : Fontaine (38169);Commune : Gières (38179);Commune : Grenoble (38185);Commune : Herbeys (38188);Commune : Jarrie (38200);Commune : La Tronche (38516);Commune : Fontanil-Cornillon (38170);Commune : Le Gua (38187);Commune : Le Pont-de-Claix (38317);Commune : Le Sappey-en-Chartreuse (38471);Commune : Meylan (38229);Commune : Miribel-Lanchâtre (38235);Commune : Mont-Saint-Martin (38258);Commune : Montchaboud (38252);Commune : Murianette (38271);Commune : Notre-Dame-de-Commiers (38277);Commune : Notre-Dame-de-Mésage (38279);Commune : Noyarey (38281);Commune : Poisat (38309);Commune : Proveysieux (38325);Commune : Quaix-en-Chartreuse (38328);Commune : Saint-Barthélemy-de-Séchilienne (38364);Commune : Saint-Égrève (38382);Commune : Saint-Georges-de-Commiers (38388);Commune : Saint-Martin-d'Hères (38421);Commune : Saint-Martin-le-Vinoux (38423);Commune : Saint-Paul-de-Varces (38436);Commune : Saint-Pierre-de-Mésage (38445);Commune : Sarcenas (38472);Commune : Sassenage (38474);Commune : Séchilienne (38478);Commune : Seyssinet-Pariset (38485);Commune : Seyssins (38486);Commune : Varces-Allières-et-Risset (38524);Commune : Vaulnaveys-le-Bas (38528);Commune : Vaulnaveys-le-Haut (38529);Commune : Venon (38533);Commune : Veurey-Voroize (38540);Commune : Vif (38545);Commune : Vizille (38562)
