CodGeo;Note;nbLsPls;nbLsMes;txVac;txVac3m;txRot;txLsCol;txLsInd;txLs1p;txLs2p;txLs3p;txLs4p;txLs5pp;txLsm30;txLs30a40;txLs40a60;txLs60a80;txLs80a100;txLs100a120;txLs120p;txLsAv49;txLs49a75;txLs76a88;txLs89a00;txLs01a13;txLsAp13;txLsPlai;txLsPlusAv77;txLsPlusAp77;txLsPls;txLsPli;moyLoy;q1Loy;medLoy;q3Loy
01004;0;2112;37;4,5;1,9;9,8;93,7;6,3;6;17,8;43,5;26,3;6,4;2,6;3,8;23,9;45,9;20,3;2,9;0,7;5,4;24,6;17,1;10;15;28;10,8;34,7;38,9;13,2;2,4;6,16;5,18;5,81;6,74
01033;0;2101;0;2,1;0,8;6,9;90,9;9,1;5;21,2;38,5;26,6;8,8;2,2;5,3;25,4;40,8;23,5;2,9;0;6,8;36,3;17,1;16;8,4;15,3;6;46,1;32,4;12,3;3,2;6,08;5,16;5,98;6,62
01034;0;1126;0;3;2,6;8,7;89,1;10,9;5,2;20,4;39,2;28;7,2;1,3;9,2;28,2;42,3;16,2;1,8;1;0;54;15,4;8,1;13,8;8,7;3,6;55;37,6;3,8;0;5,9;5,13;5,95;6,47
01053;0;7211;11;2;0,9;9;92;8;7,6;23,4;33,8;28,9;6,2;2,3;5,9;27,4;41,9;20,4;1,6;0,4;2,9;42,5;22,6;10,5;14,3;7,2;4,6;56,1;31,9;6,7;0,7;6,16;5,5;6,02;6,7
01143;0;665;32;1,7;2,2;5,7;97,5;2,5;5,3;35,5;34,7;22,4;2,1;0;3,4;38,1;40,2;18,3;0;0;1,9;17,5;3,1;7;24,3;46,3;15,1;15;50,4;19,4;0;7,46;6,43;6,95;7,83
01160;0;1325;126;1,4;1;5,7;99,1;0,9;6,9;23,5;37,4;25;7,2;2,1;4,5;25,6;38,4;26,2;3,2;0;0;22,4;13,5;4,6;8,4;51;19,7;28,9;33,8;10,2;7,3;7,43;6,17;6,78;7,57
01173;0;1292;39;2,6;1,4;8;90,5;9,5;3,1;24,3;35,4;31;6,1;0,8;2,1;26;41,6;25,8;2,8;0,8;0;13,2;22,4;11,3;22,1;31;7,9;17,3;63,9;10,8;0;7,15;6,37;6,86;7,25
01194;0;710;0;2,8;0;9,3;95,4;4,6;2,1;19,1;41,1;31,1;6,6;0;3,5;23,2;48;22,6;2,7;0;0;42;12,4;25,1;13,7;6,9;2,7;42,8;42,1;12,4;0;6,84;6,18;6,83;7,5
01202;0;682;0;1,6;0;9,7;83,8;16,2;1,9;23,5;38,2;30,9;5,5;1,9;9,8;27,5;45,1;13,8;1,9;0;0;60,1;1,9;13,7;13,2;11,1;4,7;61,5;23,6;10,2;0;6,34;5,7;6,13;6,72
01244;0;798;18;3,5;1,4;9,3;84,3;15,7;4,6;21,8;33,2;29,9;10,5;0;2,3;24,3;41,1;29,2;3,1;0;0;16;41,9;18,9;17,5;5,6;5,5;23,6;63,8;7,2;0;6,45;5,75;6,32;7,13
01249;0;786;0;1,7;1,4;8;96,3;3,7;4,1;23,9;32,7;29,9;9,5;1,4;6,2;31,2;40,2;17,7;3,3;0;1,4;51,7;14,1;13,6;3,7;15,5;3,7;57,2;32;5,4;1,7;6,4;5,45;6,13;7,06
01262;0;673;0;5,7;2,2;7,6;95,3;4,7;4,8;24,5;34,4;26,6;9,7;0;4,5;31,8;47,3;13,7;2,8;0;0;52;31,2;4,2;4;8,6;0;78,4;11,7;9,9;0;6,36;5,28;6,15;7
01283;0;4358;54;3,5;1,7;8,3;96,3;3,7;5,6;18,1;39;28,9;8,4;2,2;3,8;31,2;44,9;15,9;2;0;1,3;67;11,4;6,2;6,8;7,3;1,8;74,3;13,6;7,8;2,5;5,67;4,93;5,56;6,13
01289;0;598;11;1,9;0;14,4;72,9;27,1;11,5;11,5;34,4;30,6;11,9;6,9;5,6;17,8;35,1;25,8;6,7;2;0;31,8;24,7;7,3;15,8;20,3;3;29,2;51,3;16,5;0;6,47;5,68;6,16;6,67
01354;0;1508;51;1,7;0;7,1;93,4;6,6;4,2;28,3;40,2;22,8;4,6;0;3,7;29,7;38,5;24,9;2,4;0,9;0;2,8;21,9;18,9;15,2;41,2;7,2;11;58;23,9;0;7,58;6,46;6,83;7,8
01427;0;769;0;0;0;6,4;83,8;16,2;0;19,8;31,9;34,9;13,4;0;4,2;22,5;39,1;28,3;4,6;1,4;0;36,9;21,1;17,8;8,9;15,3;6,9;35;48,7;9,4;0;6,56;5,84;6,73;7,31
01451;0;444;0;2,5;0;9,9;53,4;46,6;0;16,7;30,7;42,7;9,9;0;2,4;14,2;33;44,2;6,1;0;0;0;26,6;17,6;31,8;24,1;6,7;0;73,5;19,8;0;6,81;5,99;6,55;7,39
02168;0;2633;11;3,3;2,4;9,3;95,2;4,8;4,9;15,3;40,4;32,4;7;1,3;2,2;30,9;50,9;13,7;0,6;0,4;2,3;56,4;15,1;7,3;9,6;9,3;3,3;67,1;22,3;4,2;3,1;5,92;5,16;5,71;6,43
02173;0;1548;0;0,9;0,7;11,2;81,2;18,8;4,8;23;36,3;26,2;9,7;0,8;3,8;29,9;47,2;16,9;0,7;0,7;0;58;28,2;4,4;6,5;2,9;3;69,1;27,3;0;0,7;5,64;5,03;5,55;6,24
02340;0;538;0;0;2,3;8,4;62,7;37,3;5,2;18,4;31,2;25,1;20,1;0;6,2;20,5;38,6;26,4;8,2;0;0;3;44,3;28,2;24,5;0;4,5;34,7;58,2;2,5;0;6,15;5,57;6,29;6,6
02381;0;950;0;6,1;3,1;11,8;79,7;20,3;6,4;18,5;35,6;31,9;7,7;0;3,5;28,5;47,1;17,8;1,2;1,8;1,2;51,4;27,8;6,9;8,2;4,5;5,7;61,3;26,4;6,5;0;5,33;4,79;5,18;5,78
02408;0;5441;36;3,7;2;11,3;82,9;17,1;5;18,3;32,4;30,8;13,5;2;4,3;20,5;41,1;24,3;7;0,7;1;49,8;26;11,7;10,4;1,1;2,2;65,4;29,8;1,6;0,9;5,41;4,79;5,22;6,03
02691;0;7541;77;1,1;0,6;9,1;79,5;20,5;2,8;21;40,1;29;7,1;0,8;2,8;27,3;48,5;16,2;3,6;0,7;1,1;57,7;15;12,9;11,3;2;3,9;64,6;25;6;0,5;5,6;4,96;5,48;6,1
02722;0;5726;0;2,6;1,7;8,5;87,9;12,1;5,6;22,1;36;27,6;8,7;2,2;6,5;30,2;44,1;14,2;2,5;0,2;1,4;62,8;17,6;4,4;7,4;6,4;1,8;68,9;22,1;5,1;2,1;5,6;4,89;5,32;6,12
02738;0;2233;0;3,7;2,1;12,1;84,4;15,6;4,2;21,8;34,4;31,4;8,2;0,6;3,1;32,3;38,7;21,1;3,3;0,8;12,8;38,6;25;19,3;3,5;0,9;4,1;62,3;32,2;1,4;0;5,6;4,87;5,61;6,24
02810;0;1789;27;1,6;2;8,5;86,1;13,9;5;19,7;36,2;30,2;8,9;1,6;2,5;28,3;51,2;14,2;2,3;0;1,3;39,2;14,5;15,8;18;11,3;3,7;36,2;44,4;13,2;2,6;6,55;5,86;6,37;6,96
03023;0;672;0;1,7;1,7;6,7;75,9;24,1;2,2;17,4;34,2;41;5,2;1,7;0;25,6;47,5;23,6;1,7;0;0;54,4;0;12,9;28,1;4,5;4,4;54,4;41,2;0;0;5,59;4,89;5,69;6,28
03082;0;917;0;6,7;6;9,5;93,3;6,7;2,5;10,6;48,5;37,2;1,2;1,7;1,2;15,8;74,5;6,7;0;0;0;69,8;11,3;7,7;7,7;3,4;2;83,2;14,8;0;0;4,43;4,03;4,11;4,59
03095;0;1340;0;0,8;0;8,2;83,9;16,1;3,7;20,9;39,5;30,6;5,4;0;5,8;35,1;35,9;18,6;3,4;1,3;3,2;54,7;12,2;17,7;8,9;3,4;3,6;60,4;33,3;2,7;0;5,75;5,16;5,67;6,23
03101;0;403;0;3,1;5,3;11,2;56,7;43,3;2,7;23,5;32,1;35,3;6,4;2,7;0;17,3;41,6;34,8;3,6;0;0;10,7;28;29,4;31,9;0;4,3;10,5;85,2;0;0;6,09;5,55;6,32;6,65
03118;0;256;0;0;0;9,3;52,1;47,9;5,1;19,1;36,2;30;9,7;0;4,4;19,6;43,6;28;4,4;0;4,6;29,4;26;23,7;11,8;4,6;13;32;54,9;0;0;5,59;4,62;5,85;6,17
03185;0;4549;0;11,4;9;11,9;88,2;11,8;8;21,3;36,9;28,1;5,7;5,1;3,5;32,5;43,4;12,8;2,6;0;3,9;53,7;15,4;9,9;15,2;1,9;1,5;61,4;36,5;0,6;0;5,6;5,06;5,55;6,25
03190;0;3332;12;5,7;4,2;9,5;92,9;7,1;8;22,9;43,2;20,7;5,1;2,2;5;28,1;44,2;18,2;2;0,3;0,3;56,2;24,6;5,4;10,1;3,4;1;73,9;20,7;2,8;1,6;5,33;4,73;5,13;5,78
03254;0;186;0;0;0;5,8;41,2;58,8;0;20;35,7;38,4;5,9;0;6;16,9;37,7;39,3;0;0;0;0;53,4;35,8;10,9;0;8,1;23,2;68,6;0;0;6,1;5,83;6,13;6,51
03310;0;1983;18;3;2,2;11,6;96,5;3,5;9,3;17,3;41;29,9;2,5;2,5;7,1;31,5;46,2;11,4;1,3;0;4,6;35,7;19,3;18,5;13,4;8,6;7,3;39,4;46,6;4;2,6;6,18;5,64;6,01;6,55
03321;0;837;39;6,6;5,9;10,8;66,3;33,7;4,5;7,9;52,1;28,2;7,3;0;2,2;9,7;60;22,8;3,9;1,3;3;49,6;12,3;8,3;16,9;10;3,7;54,4;41,9;0;0;5,5;4,86;5,4;6,13
04049;0;434;0;3,6;2,5;11;67,8;32,2;0;18,2;44,6;33,3;3,9;0;0;27,9;51;21,2;0;0;0;30,1;6,2;27,6;33,4;2,7;4,5;28,9;64;2,6;0;6,41;5,74;6,48;6,94
04070;0;1899;0;1,8;0,6;17,7;87,6;12,4;20,8;15,7;28,6;28,4;6,5;15,7;5,9;18,2;37;20,6;2;0,6;0,7;32,1;13;25,7;25,7;2,8;8,2;31,9;58,3;1,6;0;6,28;5,38;6,22;6,91
04112;0;1860;73;0,7;0,8;6,6;84,8;15,2;3;19,4;39,8;33,7;4,1;1,5;4,3;21,3;52,3;20;0,6;0;0;21,4;8,2;17,2;22,6;30,6;20,7;19,5;54;5,8;0;6,45;5,57;6,45;7,09
04209;0;596;0;2,6;2,1;7,2;78,8;21,2;0;14,9;36,3;41,2;7,6;0;1,8;23,4;47,7;23,5;1,8;1,8;2;42,5;11,7;25,2;12,9;5,8;7,9;42,1;50;0;0;5,86;5,09;5,94;6,57
05023;0;1297;0;4,9;3,5;7,4;95;5;3,7;17,9;40;31,9;6,5;0,8;2,6;21;54,8;18,1;2,7;0;4,8;37,5;20,2;21,4;8,1;7,9;3;41,6;50,7;3,3;1,4;5,88;4,86;5,67;6,71
05046;0;630;0;0;0;9,6;91,2;8,8;8,9;19,6;37,7;28,1;5,6;0;6;33,8;41,2;15,7;3,2;0;24,5;21,2;27,6;6,1;14,9;5,8;1,8;37,6;57,1;3,5;0;5,71;4,8;5,62;6,55
05061;0;3661;82;4;1,6;7,2;87,8;12,2;3,1;20,1;39,7;31,9;5,2;0,8;3;22,4;47;23,6;2,8;0,4;2,5;30;24,3;19,4;18,3;5,4;4,7;42,8;48,8;2,8;1;5,92;4,8;5,84;6,87
06004;0;4961;73;1,4;0,3;5,1;98,9;1,1;5;28,9;41,6;21,6;2,9;2,8;3,6;32,4;46,6;14;0,7;0;2,2;10;11,4;14,2;33;29,3;23,8;14,7;43,2;16,2;2,1;7,52;6,44;7,37;8,15
06012;0;734;0;9,9;8,1;4,5;100;0;10,1;29,1;36,2;21,7;3;5,9;2,5;41,9;36,9;12,8;0;0;19,1;24,1;15,9;4,8;4;32;5,7;24,4;57,2;7,2;5,4;7,42;5,99;6,96;7,83
06018;0;548;46;0;0;3,4;72;28;26,8;23,9;29,1;14;6,2;27,1;5,9;22,5;34,9;7,6;2;0;0;2,4;24,1;10,2;44,7;18,6;7,4;2,3;48,5;41,8;0;7,07;6,17;7,11;7,66
06027;0;2315;103;0,9;0;5,4;99,1;0,9;4,8;32,5;44,6;16,5;1,6;1,9;5,8;37,2;44,9;10,2;0;0;1,7;9,6;15,8;16,2;22,2;34,5;11,3;12,8;59,5;15,3;1,1;7,97;7,02;7,62;8,33
06029;0;6812;29;1,6;0,9;5,7;99,7;0,3;8,9;20,6;41,3;24,6;4,7;5,2;6,9;31,5;45,2;9,9;1,1;0,2;0,6;41;9,8;22,2;17,9;8,6;4,3;39,3;39,5;14,6;2,2;7,5;6,41;7,28;8,2
06030;0;1853;148;4,9;1,9;5,3;100;0;5,7;25,5;37;27,7;4,1;1,4;5,9;28,1;55,9;8;0,7;0;0;41,6;19,4;10,8;3;25,2;9,9;42,8;38,9;3,7;4,7;7;5,61;6,99;7,82
06033;0;1137;38;1,4;0;3,8;100;0;1,8;14,6;33,9;38,9;10,8;1,8;1;13,6;59,3;23,1;1,2;0;0;71,4;6,6;0;3,8;18,2;6,4;67,8;23,5;2,4;0;6,23;5,47;5,92;6,78
06044;0;237;19;0;0;9,3;87,7;12,3;5,3;28,4;44,4;21,8;0;0;0;26,9;65,3;7,8;0;0;0;0;24,7;7;6,6;61,7;19,1;0;72;8,9;0;7,7;6,85;7,41;7,87
06048;0;181;0;5,6;0;13,8;100;0;5,9;25,1;43,3;17,7;7,9;5,5;0;43,7;30,7;20,1;0;0;0;61,7;0;0;15,9;22,4;5,4;61,4;33,2;0;0;6,1;4,82;6,06;7,21
06065;0;84;0;;;;;;;;;;;;;;;;;;;;;10,6;;;;;;;;7,36;6,23;6,81;7,35
06069;0;3164;12;1,6;0,5;5;98,9;1,1;4,2;21,8;41,9;26,8;5,2;1,2;5,2;24,1;53,7;14,1;1,3;0,4;2,1;27,1;20,8;20,6;15;14,3;6,3;23,9;58,6;9,4;1,8;7,28;6,2;7,19;7,92
06079;0;1125;0;1;0;5,2;93,2;6,8;3,6;23,9;42,4;28,9;1,2;1,1;2,4;25;54,8;16,8;0;0;0;1,4;29,5;25,7;28,7;14,6;10,1;1,1;63,7;23,8;1,3;8,15;7,13;7,94;8,82
06083;0;1888;0;0;0;5,7;98,9;1,1;7,3;27,4;38,7;23,2;3,6;4,2;5,6;32,9;43,8;12,4;1,1;0;2,4;27;17,1;16,1;10,8;26,6;7,9;24,9;53,7;11,9;1,7;7,65;6,57;7,34;8,06
06084;0;635;0;1,7;0;4,5;100;0;2,6;27,4;46,3;19,3;4,4;0;1,8;26,3;50,8;17;2,3;1,7;0;0;12,3;10,8;1,9;75;21,4;0;74,8;3,8;0;7,46;6,94;7,43;7,79
06085;0;1114;100;2,2;0;7,2;94,2;5,8;4,9;31,9;42,2;19,7;1,3;2,1;4,5;31,2;48,2;12,6;1,3;0;1,2;0;11,1;20,8;12,6;54,2;17,3;0;65,3;14,7;2,6;8,11;7,03;7,61;8,45
06088;0;25258;272;1,2;0,7;4,3;98,9;1,1;10,6;23,7;37;23,6;5,1;7,3;5,8;30,1;41,9;13;1,6;0,2;5,9;37,9;14,1;13,8;13,8;14,6;8;37,2;45,3;7,3;2,1;7,05;6;6,88;7,67
06090;0;178;0;0;0;6,5;100;0;0;32,2;53,2;14,6;0;0;0;37,2;56,4;6,4;0;0;0;0;0;23,5;49,5;27;23,9;0;34,4;41,7;0;8,54;7,12;7,76;9,89
06095;0;483;33;4,2;4,2;7,2;97,5;2,5;8;31,4;42,6;15,8;2,3;4,7;0;34,2;53,6;7,5;0;0;0;15,5;8,8;0;8,6;67;21,2;9,6;62,5;4,6;2,2;7,53;6,68;7,37;7,94
06104;0;549;39;2,4;0;4,9;100;0;10,9;33,9;35;18,3;1,9;2;10,7;38,7;40,6;7,9;0;0;2,1;13,9;16,9;6,1;31,4;29,6;11;16,5;47,9;24,6;0;8,37;6,86;7,63;9,12
06105;0;282;50;3,9;0;8,4;87,8;12,2;6;36,5;39;18,4;0;3,8;22,6;31,4;31;11,1;0;0;0;0;4,9;0;24,4;70,7;23,6;0;59,8;16,6;0;7,99;6,87;7,61;7,98
06123;0;1913;42;0,6;0;4,7;98,4;1,6;5,4;25,3;41;24,8;3,5;1,1;5,8;26,2;49,5;17,4;0;0;0;28,4;9,4;9,8;14,2;38,2;11,2;31,9;44,4;10,5;2;7,36;6,46;7,14;7,78
06149;0;626;0;0;0;5,7;96,8;3,2;1,8;14,2;39,3;36,2;8,6;0;1,7;19,2;60;16,5;2,5;0;0;16,8;52,8;15,7;2,9;11,8;3,7;16,8;77,8;0;1,8;6,58;5,51;6,92;7,49
06152;0;1086;0;0;0;4,1;94,9;5,1;39,3;12,5;18,7;21,5;7,9;35,2;3,9;10,9;28,3;17,7;2,9;1,1;0;1;50,4;2,2;46,4;0;1,8;1;65,6;5,5;26;7,65;6,79;7,4;8,28
06155;0;1269;26;2,1;1,2;4,5;100;0;7,9;29,5;37,9;20,5;4,1;6,8;4,5;35,9;36,4;13,1;3,4;0;3,8;50,7;6;5,6;13,9;19,9;14,4;28,6;45,9;7,5;3,7;6,66;5,45;6,5;7,38
06157;0;659;0;1,7;0;5;90,7;9,3;11,3;27,2;39,1;19;3,3;4,3;10,1;27,5;42,8;13,5;0;1,8;4,4;15;30,5;17,3;2,6;30,2;19,4;19,6;53,6;5,5;1,9;6,95;6,24;6,69;7,47
06159;0;138;30;0;0;;;0;12,1;33,3;26,2;20,6;7,8;21,4;9;29,7;32,4;7,6;0;0;8,6;10,8;20,1;0;0;60,4;8,3;11,4;22;58,3;0;10,25;6,33;11,46;12,82
06161;0;876;23;1,2;0;13,5;98,1;1,9;12,5;30,4;41,8;15,3;0;6;4,6;36,1;44,6;7,4;1,3;0;0;8,3;3,8;0;22,7;65,2;17,8;2,9;51,1;28,1;0;8,04;7,02;7,49;8,16
07010;0;2446;16;4,1;2,7;9,2;93,2;6,8;5,1;17;41,8;28,6;7,5;0;4,5;19,2;50,9;22,3;3,1;0;1,8;61,6;16,6;7,5;8,7;3,8;3,1;68,9;26,2;1,3;0,5;5,11;4,27;4,96;5,86
07019;0;960;0;1,2;0;8,7;85,1;14,9;1,3;16,6;40,4;32,5;9,2;0;0;22;55,6;20,5;1,9;0;4;51,8;3,7;0;21;19,5;4,8;53,5;39,1;2,7;0;5,66;4,87;5,42;6,34
07042;0;496;0;0;2,2;8,1;89,1;10,9;0;8,5;36,9;47,3;7,3;0;0;18,1;64,4;17,5;0;0;0;78,1;0;0;12,6;9,3;6,2;76,2;17,5;0;0;5,44;5,04;5,25;5,59
07102;0;309;0;0;0;3,9;83,6;16,4;0;26,8;42,4;27,4;3,4;0;0;24,9;51,1;23,9;0;0;0;3,3;10,5;9,3;25,1;51,8;18,2;0;81,8;0;0;7,09;6,7;6,99;7,61
07186;0;1241;18;2,8;1,6;7,9;94,7;5,3;3,1;22,1;39,5;28,3;6,9;0,9;2,7;28,7;48;18,6;1,1;0;0;61,1;18;5,3;9,3;6,3;2,3;69,9;25,5;2,3;0;5,45;4,91;5,32;6
07281;0;309;0;0;0;3,6;72,2;27,8;0;18,3;29,3;40;12,3;0;0;14,6;44,6;37,3;3,5;0;0;19,6;13,4;24,1;22;21;8;17,4;68,2;6,4;0;6,6;5,68;6,8;7,46
07319;0;702;13;1,6;1,6;9,7;78,9;21,1;0;19,3;39,3;30,9;10,6;0;1,7;26,4;45,7;21,9;2,7;1,7;1,7;44,3;8,4;15,2;14,5;15,8;6;37,9;46,9;5,3;3,9;5,89;5,22;5,9;6,45
07324;0;576;0;0;0;5,2;96,1;3,9;0;18,4;41,2;33,1;7,4;0;2,3;17,9;57,6;20,2;2;0;2,1;58,2;9,5;4,3;22,3;3,6;2,8;58,9;31,9;2,8;3,6;5,4;4,69;5,12;5,97
07349;0;551;0;2;2,6;8,6;91,6;8,4;2,3;16,5;32;42,7;6,5;0;0;17,3;63,6;17,1;2;0;0;63,9;16,3;13,9;5,9;0;2,3;65,7;28;0;4,1;5,29;4,38;5,02;6,01
08081;0;464;0;6,4;5,6;12,2;97,6;2,4;0;12,4;49;29;9,5;0;0;28,6;50,4;16,5;4,4;0;2,3;85,6;6,8;0;2,5;2,8;2,8;86,8;7;3,4;0;4,56;4,1;4,58;5,01
08105;0;10337;30;2,5;1,2;12,1;87,9;12,1;5,4;15,9;34,9;31,5;12,4;2,2;3,5;22,4;43,1;23,3;5;0,6;4,2;52,1;15,5;13,6;5,7;8,7;4,1;60,5;31;2,2;2,1;5,45;4,8;5,31;6,07
08185;0;260;0;0;4,5;9,2;75;25;0;11,4;34,3;33,2;21;0;5,6;27,1;31,2;27,5;8,6;0;0;50;0;4,4;36,7;8,9;6,1;48,7;45,1;0;0;5,44;5;5,38;5,73
08190;0;693;0;2,3;0;11;81,5;18,5;3;10,7;40,6;33,2;12,4;0;4,4;24;43,8;26;1,9;0;0;41,9;37,2;9,7;6,2;5;6,5;59;34,5;0;0;5,38;4,7;5,09;5,95
08328;0;807;0;1,6;1,8;11;59,4;40,6;1,4;7;40,1;39,3;12,2;0;3,8;22,8;46,6;17,4;9,4;0;13,5;50,1;8,2;12,5;9,9;5,8;6,4;54,8;32,2;4,1;2,5;5,3;4,87;5,34;5,66
08362;0;1292;0;1,2;0,9;9,1;82,6;17,4;2,4;18,6;30,5;31,6;16,9;1,3;2,9;33,2;29,6;29;4;0;0,8;61,5;13,6;12,8;11,3;0;1,8;73,7;22,9;0;1,7;5,22;4,49;5,12;5,89
08363;0;526;0;2,7;2,1;11;73,1;26,9;3,7;8,6;48,7;27,9;11;0;4,9;34,4;39;15,2;6,5;0;4,5;52,1;2;19,2;3,4;18,8;8,7;52,7;38,6;0;0;5,48;5;5,47;5,87
08409;0;3703;0;4,2;3;10,7;85,2;14,8;4,3;19,8;37;29,1;9,7;0,4;4,4;26,2;38,1;26,8;3,3;0,8;3,8;43,2;28,5;7,2;8,7;8,6;2,8;55,9;38,5;2,1;0,6;5,34;4,74;5,2;5,83
08490;0;484;0;9,4;4,9;13,4;87,6;12,4;2,4;23;36,3;27,3;11;0;3,3;28;50,2;15,6;2,9;0;0;64,5;18,8;16,7;0;0;0;83,4;16,6;0;0;5,1;4,51;4,84;5,66
09122;0;585;0;0;0;10,4;90,5;9,5;1,9;19,2;40,4;25,5;13,1;0;1,9;18,5;50,3;22;7,3;0;0;64;8,3;0;20,5;7,1;3,1;63,2;33,7;0;0;5,26;4,52;4,85;6,1
09160;0;207;0;0;5,9;10,8;100;0;10;21,4;43,8;19;5,7;0;5,5;24,6;56,3;13,6;0;0;0;39,7;22,5;37,8;0;0;0;39,2;60,8;0;0;5,3;4,95;5,25;5,66
09225;0;1063;0;0;0;9,7;87,8;12,2;2,4;16,9;38,5;34,5;7,7;0;1,5;20,2;54,7;22,6;1;0;1;46,6;17,6;5,7;27,6;1,4;5,6;54,4;40;0;0;5,58;4,98;5,46;6,25
09261;0;229;0;0;0;8,4;62,6;37,4;0;6;47,4;36,2;10,3;0;0;5,7;61,3;25,7;7,4;0;0;38,9;11,1;17,5;11,1;21,4;6,5;39,2;54,3;0;0;5,46;5,01;5,61;5,88
10033;0;1056;15;9,3;4,5;11,7;82,4;17,6;2,9;17,3;35,9;33,2;10,6;1,1;3,4;35,6;37,5;17,3;4;1;0;65,5;16,2;2,8;11,2;4,3;1,4;67,9;22,3;7;1,4;5,32;4,71;5,13;5,73
10081;0;3046;92;2,6;1,1;9,5;91,7;8,3;5,1;18,2;36,5;34,6;5,6;0,4;3,1;27,6;46,5;19,8;2,2;0,4;0,7;71,2;8,6;0,9;6,3;12,3;8,1;64,2;26,5;0,9;0,4;5,39;4,84;5,29;6,02
10268;0;949;0;4,9;2,9;9,4;79,7;20,3;6,1;16;32,2;32,5;13,2;1,8;3,4;27,7;43,2;18,5;4,2;1,1;2,9;52;21,5;8,8;11,6;3,3;0;53,6;28,5;9,1;8,8;5,94;5,05;5,79;6,63
10323;0;2183;37;5,3;2,9;9,6;72,6;27,4;3,7;21,8;36,2;30,5;7,8;0,5;2,9;31,4;40,6;20,8;3,7;0;2,2;57,3;9,8;8,3;17,9;4,4;3,5;50,4;37,5;4,2;4,4;5,59;5;5,57;6,06
10333;0;1605;78;4,2;3;9,3;86,1;13,9;5,9;24,4;33;30,5;6,4;3,3;2,5;25,5;43,4;21,8;3,4;0;1,3;27,2;40,3;6,3;8,2;16,6;6,1;53,9;32,9;4,1;3;6,46;5,79;6,23;6,71
10343;0;768;0;2,5;1,7;9,7;71;29;3,9;26,6;32,1;27;10,4;1,6;3,2;34,6;33,9;19,8;5,1;1,8;1,4;35,3;4,6;30,9;9,2;18,6;5,8;35,2;45;8,6;5,4;6,46;5,6;6,33;7
10362;0;1338;0;2,7;0;8,1;92,7;7,3;3,4;24,4;42,6;23,1;6,4;0,9;1,9;31,8;45,9;14,8;3,9;0,8;14,2;23,5;14,2;17,2;25,1;5,8;4;24,5;50;13,5;8,1;6,65;5,93;6,34;7,11
10387;0;11659;78;3,4;1,4;12;92,1;7,9;12,4;23,8;35,2;21,7;6,9;7,8;7,5;32,2;35,8;12,5;3,5;0,6;10,4;44,1;12,1;11,9;12,3;9,3;3,5;53;29,8;8,7;5;6,29;5,33;5,99;6,79
11069;0;4737;12;2,6;1;8,4;83,9;16,1;7,2;17;35,1;32;8,7;3,6;5,6;23,5;43,8;22;1,4;0;5,7;47,8;13,1;12,8;11,3;9,4;5,2;48,9;44,4;1,3;0,2;5,99;5,33;5,98;6,5
11076;0;893;0;3,1;0;9,4;83;17;0;21,6;39,6;27,5;11,3;0;1,5;24,8;51,7;22;0;0;0;45,7;12,5;6,6;7,9;27,2;9,2;44,6;42,1;1,8;2,3;5,7;4,97;5,61;6,42
11106;0;218;35;0;0;10,8;69,7;30,3;7,5;15,1;35,4;34,9;7,1;0;0;22,1;61,3;16,6;0;0;0;0;0;26,4;5;68,6;24,9;0;75,1;0;0;6,23;5,95;6,25;6,65
11116;0;89;0;;;12,5;;;;;;;;;;;;;;;;;;;;;;;;;;6,29;6,08;6,32;6,57
11203;0;637;0;0;0;8,7;46,8;53,2;1,7;7;32,3;44,6;14,5;1,7;0;10,9;43;39,2;5,2;0;0;26,7;32,7;12;28,5;0;8,4;36,3;51,3;0;4,1;5,63;4,95;5,6;6,1
11206;0;632;40;1,9;1,9;6,4;50,5;49,5;6,3;9,5;34,5;39;10,7;2,8;4,6;13,1;39,8;35,5;2,5;1,7;0;18,9;10,7;12,4;30,7;27,2;18,2;21,9;49,8;0;10;5,63;5,21;5,7;6,04
11262;0;6183;31;2,4;1,1;6,7;84,5;15,5;3,9;18,2;42,1;29,2;6,6;3,1;2,3;23;47,6;22;2;0;6,1;37,9;19,1;9,7;8,9;18,2;9,4;43,6;43,7;1,1;2,2;5,97;5,19;5,8;6,61
11266;0;559;0;2,2;0;10,4;81,7;18,3;0;13,1;38,9;40,6;7,4;0;0;19;56,4;24,6;0;0;0;64,3;13,3;0;4,8;17,7;5;64,7;30,4;0;0;5,62;5,03;5,7;6,07
11379;0;200;59;0;0;8,3;82;18;5;21,6;39;28,4;6;0;0;29;43;28;0;0;0;5,1;0;15,9;5,6;73,4;26,6;0;73,4;0;0;6,27;5,93;6,25;6,6
11397;0;413;0;5;2,7;7,8;64,1;35,9;2,8;3,5;36,5;39,1;18,1;0;0;5,1;67,3;25;2,6;0;0;45,3;43,4;3,1;5,7;2,6;2,6;79,2;18,2;0;0;5,43;4,91;5,33;6,07
12089;0;668;0;12,6;11,1;14;94,1;5,9;2,6;20;46,5;20,9;10;0;5,2;23,1;58,5;11,6;1,6;0;1,7;82,4;5;2,4;6,6;1,9;6,3;63;14,3;0;16,4;5,03;4,19;5,03;5,83
