CodGeo;Note;nbLsPls;nbLsMes;txVac;txVac3m;txRot;txLsCol;txLsInd;txLs1p;txLs2p;txLs3p;txLs4p;txLs5pp;txLsm30;txLs30a40;txLs40a60;txLs60a80;txLs80a100;txLs100a120;txLs120p;txLsAv49;txLs49a75;txLs76a88;txLs89a00;txLs01a13;txLsAp13;txLsPlai;txLsPlusAv77;txLsPlusAp77;txLsPls;txLsPli;moyLoy;q1Loy;medLoy;q3Loy
68112;0;1542;15;2,9;0;10,2;95,1;4,9;5,2;20,3;35,3;29,7;9,5;3,4;2,9;25,9;43,8;19,7;3,7;0,7;13,5;53,3;19,1;9,7;3,4;1;11,2;72,4;12,2;4,1;0;5,61;4,76;5,44;6,32
68145;0;271;0;0;0;9,3;100;0;0;34,4;39,4;21,1;5;0;0;37,2;47,4;15,3;0;0;0;0;6;3,9;39,2;50,9;48,1;6,5;45,4;0;0;6,41;5,85;6,48;6,93
68149;0;917;0;1,2;0;7,7;95,8;4,2;2,6;10,6;40,9;37,3;8,7;2,4;0;15,2;46,1;31,2;5;0;9,1;76,2;7,7;4,9;2,1;0;4;82,3;10,2;1,2;2,3;5,53;4,89;5,43;5,99
68154;0;1265;64;1,1;2,5;8,4;96,4;3,6;4,6;12,6;30,6;44,7;7,5;4,1;0;12,5;57,7;21,3;4,4;0;0;65,8;4,2;4,4;2,2;23,4;7,5;51,2;34,9;2,2;4,2;5,98;4,84;5,77;7
68166;0;840;0;1,3;1,3;8,3;87,4;12,6;3,6;23,6;42,8;26,2;3,7;0;2,9;27,2;52;16,6;1,3;0;0;29;6,2;5,6;44,9;14,4;17,3;20,4;46,3;15,9;0;6,95;6,15;7,06;7,77
68195;0;515;11;3,1;2,5;7;100;0;0;20,5;45,2;29,4;4,9;2,2;2,9;26,7;55,3;12,9;0;0;12,2;36,3;2,2;14,8;21,5;13;18,8;31,5;43,7;6;0;6,54;5,53;6,69;7,28
68224;0;14057;42;2,7;1,3;8,1;97,9;2,1;4,5;22,8;35,5;26,8;10,3;3,1;3,5;31,4;33,5;22,3;5,4;0,8;18,6;41,5;11,5;12,6;14,7;1,2;4,6;42,6;38,1;6,1;8,6;6,2;5,28;5,98;7,02
68256;0;770;0;3,2;0;10,4;91,6;8,4;2,1;19,7;38,7;29,8;9,7;1,6;2,1;24;39,1;24,7;8,5;0;3,3;13,7;26;4,8;50,2;2,1;2,2;12,2;74,9;10,8;0;6,96;6,4;6,83;7,51
68271;0;931;29;1,5;0;10,6;87,1;12,9;2,9;20,5;39,5;27,7;9,5;0;5;20,6;46,5;26,7;1,1;0;8,8;46,3;3,9;9,1;13,4;18,5;11,4;19,4;67,2;2;0;6,64;6,29;6,69;7,16
68278;0;915;45;1,8;0;8,8;93,7;6,3;0;22,7;36;28,2;13;0;1,5;21,7;40,7;31,5;3,2;1,3;1,2;0;41,7;17,8;22;17,3;8,8;1,5;77,3;9,7;2,7;6,43;5,29;6,52;7,14
68297;0;2686;0;1,2;0;7,8;93,6;6,4;3,6;18,9;35,9;32,3;9,4;1,7;2;27,1;41,9;22,9;4;0,5;10;56,2;11,9;12;7,2;2,7;8;50,1;30,3;6,4;5,2;6,17;5,02;5,93;6,85
68298;0;518;0;14,3;14,4;7,4;97,7;2,3;2,4;18;50,7;24,4;4,4;2,1;0;19;63;13,8;2,1;0;19,2;51,2;27,2;0;2,4;0;2,1;91,2;4,3;0;2,3;5,37;4,91;5,3;5,75
68300;0;378;13;4,5;6,4;6,6;83,8;16,2;0;18,7;22,2;40,4;18,7;0;2,9;20,6;41,7;29,4;5,5;0;3,1;44,2;16,9;3,1;21,1;11,7;11,9;43,4;44,7;0;0;6,2;5,35;6,48;6,65
68315;0;452;0;0;0;10,6;91;9;5,7;15;41,7;29,1;8,4;0;3,7;31,1;37,6;25,2;2,4;0;12,7;57,2;14;13,1;2,9;0;16,8;60,5;17,5;2,8;2,4;5,63;5,08;5,4;6,26
68334;0;803;0;3,1;0;9,1;96,8;3,2;12;19,9;35,5;21,1;11,5;3,5;12,6;29,4;38,2;14,9;1,5;0;5,8;53,4;18;15,4;6;1,5;2,6;60,1;35,8;0;1,5;5,7;4,96;5,59;6,45
68374;0;571;0;0;0;9,6;91,7;8,3;0;20,1;39,2;31,9;8,8;0;2,5;26,2;47,9;19,5;3,9;0;12,4;28,5;8,8;18,7;7,8;23,8;17;29,5;47;4,6;1,9;6,37;5,94;6,34;6,86
