code_residence,commune_residence,dep_residence,code_travail,commune_travail,dep_travail,flux,annee
02030,Aubencheul-aux-Bois,02,76377,Isneauville,76,4.73732067965367,2019
02064,Belleu,02,76410,Maromme,76,5.11313562326426,2019
02119,Brécy,02,35047,Bruz,35,5.09345794392523,2019
02131,Bucy-le-Long,02,34172,Montpellier,34,4.968356059586,2019
02168,Château-Thierry,02,35051,Cesson-Sévigné,35,1.01547368979303,2019
02168,Château-Thierry,02,35238,Rennes,35,3.99892716102183,2019
02168,Château-Thierry,02,76178,Cléon,76,3.48857484426458,2019
02173,Chauny,02,76540,Rouen,76,2.51171203938876,2019
02322,Fontaine-Notre-Dame,02,76540,Rouen,76,4.96849678657183,2019
02340,Gauchy,02,76451,Mont-Saint-Aignan,76,5.01739802822346,2019
02359,Grugies,02,76540,Rouen,76,5.10596546310822,2019
02368,Haramont,02,38317,Le Pont-de-Claix,38,4.97683192774887,2019
02383,Homblières,02,76319,Grand-Couronne,76,4.93554425356198,2019
02408,Laon,02,34172,Montpellier,34,5.17091800467689,2019
02408,Laon,02,76540,Rouen,76,2.45974321367674,2019
02506,Montgobert,02,76108,Bois-Guillaume,76,5.078125,2019
02558,Le Nouvion-en-Thiérache,02,35281,Saint-Jacques-de-la-Lande,35,5.38055928672748,2019
02590,Pargny-la-Dhuys,02,76540,Rouen,76,4.97058823529412,2019
02626,Prouvais,02,76451,Mont-Saint-Aignan,76,5.0,2019
02629,Puisieux-et-Clanlieu,02,34270,Saint-Jean-de-Védas,34,9.6583850931677,2019
02637,Remaucourt,02,38185,Grenoble,38,5.02593056056579,2019
02691,Saint-Quentin,02,76540,Rouen,76,12.6619533775538,2019
02722,Soissons,02,35238,Rennes,35,3.31974558794979,2019
02722,Soissons,02,38229,Meylan,38,3.1446261570377,2019
02738,Tergnier,02,76322,Le Grand-Quevilly,76,2.81627664152836,2019
02767,Vauxrezis,02,42218,Saint-Étienne,42,5.01557632398754,2019
02775,Vendeuil,02,76116,Boos,76,5.06091750029959,2019
02782,Le Verguier,02,76540,Rouen,76,5.02283105022831,2019
02797,Viel-Arcy,02,35238,Rennes,35,5.0,2019
03022,Bellenaves,03,42218,Saint-Étienne,42,5.06104103992474,2019
03023,Bellerive-sur-Allier,03,38185,Grenoble,38,4.94707066497235,2019
03023,Bellerive-sur-Allier,03,42218,Saint-Étienne,42,4.94707066497235,2019
03055,La Chapelaude,03,34198,Pérols,34,5.11111111111107,2019
03084,Cosne-d'Allier,03,42097,La Fouillouse,42,5.01624623044229,2019
03092,Cressanges,03,42097,La Fouillouse,42,4.99205087440386,2019
03095,Cusset,03,35238,Rennes,35,1.00002304014545,2019
03101,Domérat,03,42218,Saint-Étienne,42,4.97453672541331,2019
03174,Molles,03,42218,Saint-Étienne,42,5.04146950791965,2019
03185,Montluçon,03,34172,Montpellier,34,2.61539958859455,2019
03185,Montluçon,03,35238,Rennes,35,2.00002596892346,2019
03185,Montluçon,03,38185,Grenoble,38,1.09575021986773,2019
03185,Montluçon,03,38317,Le Pont-de-Claix,38,5.00006492230866,2019
03185,Montluçon,03,42097,La Fouillouse,42,2.90955981237823,2019
03185,Montluçon,03,42218,Saint-Étienne,42,10.3374249122865,2019
03185,Montluçon,03,42316,Unieux,42,2.95666457880878,2019
03190,Moulins,03,35066,Chartres-de-Bretagne,35,1.20597698811507,2019
03190,Moulins,03,35238,Rennes,35,0.999979113144556,2019
03190,Moulins,03,42218,Saint-Étienne,42,2.27600370427622,2019
03204,Paray-sous-Briailles,03,42097,La Fouillouse,42,5.04045307443366,2019
03213,Reugny,03,42097,La Fouillouse,42,4.9802371541502,2019
03242,Saint-Loup,03,42097,La Fouillouse,42,9.97902460942056,2019
03250,Saint-Pierre-Laval,03,42097,La Fouillouse,42,5.00533955650102,2019
03279,Teillet-Argenty,03,42097,La Fouillouse,42,10.1002724830309,2019
03286,Toulon-sur-Allier,03,42092,L'Étrat,42,4.99122807017562,2019
03304,Vendat,03,42097,La Fouillouse,42,5.0,2019
03310,Vichy,03,42097,La Fouillouse,42,1.00424893063349,2019
03310,Vichy,03,42186,Rive-de-Gier,42,3.83893945819414,2019
03310,Vichy,03,42302,Sorbiers,42,1.17590555647001,2019
03314,Villebret,03,42218,Saint-Étienne,42,5.21288668309297,2019
03321,Yzeure,03,42218,Saint-Étienne,42,2.64368322656413,2019
04012,Aubenas-les-Alpes,04,34337,Villeneuve-lès-Maguelone,34,4.69337448712333,2019
04036,Le Brusquet,04,34172,Montpellier,34,5.0,2019
04070,Digne-les-Bains,04,34172,Montpellier,34,2.78074913662369,2019
04079,L'Escale,04,34327,Vendargues,34,4.9430603606923,2019
04093,Gigors,04,38185,Grenoble,38,5.0,2019
04149,Peyruis,04,34172,Montpellier,34,5.02343454776342,2019
04192,Saint-Michel-l'Observatoire,04,34172,Montpellier,34,5.1432519023644,2019
04206,Sigonce,04,34172,Montpellier,34,4.98826291079812,2019
04217,Thoard,04,34172,Montpellier,34,10.0,2019
04230,Valensole,04,76498,Le Petit-Quevilly,76,5.0221286701209,2019
04244,Volonne,04,34327,Vendargues,34,4.66649712145607,2019
05017,La Bâtie-Neuve,05,38317,Le Pont-de-Claix,38,4.97807958614357,2019
05017,La Bâtie-Neuve,05,38421,Saint-Martin-d'Hères,38,4.97807958614357,2019
05023,Briançon,05,38185,Grenoble,38,13.4697933882374,2019
05023,Briançon,05,38524,Varces-Allières-et-Risset,38,2.96232087779522,2019
05046,Embrun,05,38185,Grenoble,38,9.84434609320337,2019
05052,Eygliers,05,38185,Grenoble,38,5.03386421665984,2019
05053,Garde-Colombe,05,38185,Grenoble,38,5.0,2019
05060,Furmeyer,05,38185,Grenoble,38,5.17341040462428,2019
05061,Gap,05,34172,Montpellier,34,2.15701533038755,2019
05061,Gap,05,38185,Grenoble,38,14.9110216866653,2019
05061,Gap,05,38516,La Tronche,38,0.996080429121345,2019
