Code_commune_arrivee,Commune_arrivee,Code_commune_depart,Commune_depart,Flux_migrants_1an_ou_plus
35024,Betton,76575,Saint-Étienne-du-Rouvray,1.09
35024,Betton,77139,Courtry,4.49
35024,Betton,78015,Andrésy,5.61
35024,Betton,78092,Bougival,4.49
35024,Betton,78263,Gambais,1.09
35024,Betton,78356,Magny-les-Hameaux,10.83
35024,Betton,78358,Maisons-Laffitte,14.97
35024,Betton,78398,Les Mesnuls,1.09
35024,Betton,85047,Challans,1.17
35024,Betton,92007,Bagneux,1.17
35024,Betton,92012,Boulogne-Billancourt,5.37
35024,Betton,92020,Châtillon,4.84
35024,Betton,92060,Le Plessis-Robinson,5.61
35024,Betton,93051,Noisy-le-Grand,17.48
35024,Betton,94043,Le Kremlin-Bicêtre,3.12
35024,Betton,94065,Rungis,5.78
35024,Betton,94067,Saint-Mandé,1.17
35024,Betton,95313,L'Isle-Adam,5.37
35024,Betton,99999,Résidence antérieure dans un pays étranger,6.53
35032,Bourgbarré,13002,Allauch,14.29
35032,Bourgbarré,29024,Carhaix-Plouguer,4.54
35032,Bourgbarré,35001,Acigné,9.3
35032,Bourgbarré,35032,Bourgbarré,4229.82
35032,Bourgbarré,35037,Bréal-sous-Montfort,4.54
35032,Bourgbarré,35047,Bruz,23.58
35032,Bourgbarré,35055,Chantepie,4.65
35032,Bourgbarré,35059,La Chapelle-des-Fougeretz,4.76
35032,Bourgbarré,35066,Chartres-de-Bretagne,24.05
35032,Bourgbarré,35088,Corps-Nuds,4.54
35032,Bourgbarré,35136,Janzé,9.3
35032,Bourgbarré,35144,Langan,4.65
35032,Bourgbarré,35204,Nouvoitou,9.3
35032,Bourgbarré,35207,Noyal-sur-Vilaine,9.3
35032,Bourgbarré,35208,Orgères,18.59
35032,Bourgbarré,35238,Rennes,84.37
35032,Bourgbarré,35250,Saint-Armel,4.54
35032,Bourgbarré,35266,Saint-Erblon,24.99
35032,Bourgbarré,35352,Vern-sur-Seiche,9.3
35032,Bourgbarré,35360,Vitré,4.54
35032,Bourgbarré,35363,Pont-Péan,28.58
35032,Bourgbarré,38193,L'Isle-d'Abeau,4.54
35032,Bourgbarré,44109,Nantes,9.07
35032,Bourgbarré,44182,Saint-Michel-Chef-Chef,9.3
35032,Bourgbarré,50436,Romagny Fontenay,4.65
35032,Bourgbarré,56126,Marzan,4.54
35032,Bourgbarré,56169,Plouhinec,4.65
35032,Bourgbarré,59350,Lille,4.76
35032,Bourgbarré,69389,Lyon 9e Arrondissement,4.54
35032,Bourgbarré,85226,Saint-Hilaire-de-Riez,4.65
35032,Bourgbarré,99999,Résidence antérieure dans un pays étranger,66.0
35039,Brécé,35039,Brécé,2093.62
35039,Brécé,35069,Châteaugiron,16.0
35039,Brécé,35088,Corps-Nuds,11.11
35039,Brécé,35206,Noyal-Châtillon-sur-Seiche,16.0
35039,Brécé,35207,Noyal-sur-Vilaine,11.11
35039,Brécé,35238,Rennes,16.45
35039,Brécé,35252,Saint-Aubin-des-Landes,5.79
35039,Brécé,44066,Grandchamp-des-Fontaines,15.35
35039,Brécé,58194,Nevers,11.11
35047,Bruz,04070,Digne-les-Bains,1.39
35047,Bruz,06018,Biot,3.61
35047,Bruz,06029,Cannes,1.57
35047,Bruz,06152,Valbonne,1.57
35047,Bruz,10357,Saint-Parres-aux-Tertres,4.45
35047,Bruz,12283,Trémouilles,3.61
35047,Bruz,13004,Arles,9.72
35047,Bruz,13213,Marseille 13e Arrondissement,1.57
35047,Bruz,14101,Bretteville-sur-Odon,1.57
35047,Bruz,14118,Caen,2.78
35047,Bruz,14258,Falaise,5.58
35047,Bruz,14327,Hérouville-Saint-Clair,1.48
35047,Bruz,14338,Houlgate,1.23
35047,Bruz,14384,Luc-sur-Mer,1.57
35047,Bruz,19031,Brive-la-Gaillarde,1.22
35047,Bruz,19077,Estivals,1.39
35047,Bruz,21231,Dijon,3.63
35047,Bruz,22020,Broons,3.6
35047,Bruz,22084,Jugon-les-Lacs,1.57
35047,Bruz,22113,Lannion,2.96
35047,Bruz,22122,Laurenan,11.19
35047,Bruz,22185,Plénée-Jugon,1.48
35047,Bruz,22219,Plouguenast-Langast,1.39
35047,Bruz,22222,Plouha,1.39
35047,Bruz,22259,Quévert,5.59
35047,Bruz,22278,Saint-Brieuc,1.39
35047,Bruz,22299,Saint-Hélen,1.39
35047,Bruz,22325,Saint-Quay-Portrieux,1.39
35047,Bruz,22339,Taden,1.23
35047,Bruz,22341,Tramain,2.78
35047,Bruz,22384,Uzel,19.43
35047,Bruz,25532,Saône,1.22
35047,Bruz,27375,Louviers,3.16
35047,Bruz,27389,Marbeuf,1.39
35047,Bruz,28085,Chartres,3.66
35047,Bruz,28296,Péronville,1.57
35047,Bruz,29019,Brest,13.18
35047,Bruz,29039,Concarneau,6.34
35047,Bruz,29101,Landéda,1.22
35047,Bruz,29179,Ploudaniel,3.0
35047,Bruz,29220,Pont-l'Abbé,4.86
35047,Bruz,29221,Porspoder,3.61
35047,Bruz,29232,Quimper,16.51
35047,Bruz,29233,Quimperlé,3.16
35047,Bruz,29241,Rosporden,22.37
35047,Bruz,29268,Saint-Thonan,1.39
35047,Bruz,30060,Caissargues,5.59
35047,Bruz,30189,Nîmes,3.14
35047,Bruz,31025,Aureville,1.23
35047,Bruz,31291,Léguevin,6.42
35047,Bruz,31555,Toulouse,6.42
35047,Bruz,33063,Bordeaux,14.98
35047,Bruz,33096,Carbon-Blanc,1.48
35047,Bruz,33522,Talence,1.23
35047,Bruz,34172,Montpellier,3.61
35047,Bruz,35001,Acigné,3.6
35047,Bruz,35004,Val-Couesnon,3.61
35047,Bruz,35012,Bain-de-Bretagne,6.34
35047,Bruz,35013,Bains-sur-Oust,4.14
35047,Bruz,35016,Baulon,7.83
35047,Bruz,35023,Bédée,11.16
35047,Bruz,35024,Betton,5.04
35047,Bruz,35032,Bourgbarré,19.27
35047,Bruz,35033,Bourg-des-Comptes,4.86
35047,Bruz,35037,Bréal-sous-Montfort,9.1
35047,Bruz,35047,Bruz,17791.34
35047,Bruz,35051,Cesson-Sévigné,6.55
35047,Bruz,35054,Chanteloup,4.52
35047,Bruz,35055,Chantepie,12.46
35047,Bruz,35057,La Chapelle-Bouëxic,15.9
35047,Bruz,35059,La Chapelle-des-Fougeretz,6.42
35047,Bruz,35066,Chartres-de-Bretagne,23.65
35047,Bruz,35069,Châteaugiron,1.08
35047,Bruz,35080,Cintré,9.86
35047,Bruz,35081,Clayes,1.08
35047,Bruz,35090,Crevin,1.89
35047,Bruz,35095,Dol-de-Bretagne,7.05
35047,Bruz,35105,Erbrée,1.48
35047,Bruz,35118,Gahard,3.16
35047,Bruz,35126,Guichen,13.41
35047,Bruz,35127,Guignen,1.48
35047,Bruz,35135,Irodouër,0.95
35047,Bruz,35136,Janzé,0.95
35047,Bruz,35139,Laillé,27.37
35047,Bruz,35143,Landujan,2.62
35047,Bruz,35145,Langon,9.48
35047,Bruz,35152,Liffré,2.8
35047,Bruz,35168,Val d'Anast,3.66
35047,Bruz,35176,Guipry-Messac,3.91
35047,Bruz,35179,Miniac-Morvan,1.51
35047,Bruz,35184,Montauban-de-Bretagne,16.78
35047,Bruz,35188,Montfort-sur-Meu,5.14
35047,Bruz,35189,Montgermont,5.59
35047,Bruz,35193,Montreuil-le-Gast,9.86
35047,Bruz,35198,Moulins,0.95
35047,Bruz,35202,La Noë-Blanche,1.51
35047,Bruz,35204,Nouvoitou,4.86
35047,Bruz,35206,Noyal-Châtillon-sur-Seiche,22.31
35047,Bruz,35208,Orgères,4.38
35047,Bruz,35228,Pleurtuit,1.39
35047,Bruz,35236,Redon,3.66
35047,Bruz,35238,Rennes,378.22
35047,Bruz,35240,Le Rheu,1.22
35047,Bruz,35245,Romillé,0.95
35047,Bruz,35253,Saint-Aubin-du-Cormier,5.36
35047,Bruz,35257,Maen Roch,2.46
35047,Bruz,35265,Saint-Domineuc,1.51
35047,Bruz,35266,Saint-Erblon,5.98
35047,Bruz,35278,Saint-Grégoire,11.38
35047,Bruz,35281,Saint-Jacques-de-la-Lande,19.54
35047,Bruz,35282,Rives-du-Couesnon,9.48
35047,Bruz,35288,Saint-Malo,1.39
35047,Bruz,35290,Saint-Malon-sur-Mel,1.39
35047,Bruz,35294,Sainte-Marie,3.63
35047,Bruz,35315,Saint-Sulpice-la-Forêt,6.25
35047,Bruz,35331,Talensac,5.58
35047,Bruz,35335,Thourie,0.95
35047,Bruz,35353,Vezin-le-Coquet,15.85
35047,Bruz,35363,Pont-Péan,52.29
35047,Bruz,37122,Joué-lès-Tours,9.72
35047,Bruz,37261,Tours,1.57
35047,Bruz,38229,Meylan,1.48
35047,Bruz,40184,Mimizan,2.97
35047,Bruz,41194,Romorantin-Lanthenay,1.51
35047,Bruz,42223,Saint-Genest-Lerpt,7.31
35047,Bruz,44021,Villeneuve-en-Retz,3.01
35047,Bruz,44026,Carquefou,2.62
35047,Bruz,44036,Châteaubriant,4.86
35047,Bruz,44068,Guenrouet,1.39
35047,Bruz,44109,Nantes,32.24
35047,Bruz,44114,Orvault,1.23
35047,Bruz,44137,Prinquiau,2.78
35047,Bruz,44139,Quilly,9.72
35047,Bruz,44150,Saint-Aignan-Grandlieu,3.39
35047,Bruz,44151,Saint-André-des-Eaux,3.61
35047,Bruz,44155,Saint-Colomban,1.23
35047,Bruz,44172,Sainte-Luce-sur-Loire,7.11
35047,Bruz,44184,Saint-Nazaire,1.23
35047,Bruz,44190,Saint-Sébastien-sur-Loire,1.48
35047,Bruz,44196,Sévérac,3.63
35047,Bruz,44209,Treillières,1.39
35047,Bruz,45234,Orléans,2.97
35047,Bruz,47157,Marmande,1.39
35047,Bruz,49007,Angers,1.39
35047,Bruz,49023,Beaupréau-en-Mauges,1.39
35047,Bruz,49099,Cholet,2.97
35047,Bruz,49246,Les Ponts-de-Cé,1.51
35047,Bruz,49328,Saumur,11.24
35047,Bruz,49381,Yzernay,3.6
35047,Bruz,50129,Cherbourg-en-Cotentin,1.51
35047,Bruz,50188,Folligny,1.48
35047,Bruz,50502,Saint-Lô,3.61
35047,Bruz,50519,Saint-Martin-le-Gréard,3.16
35047,Bruz,50615,Valognes,3.16
35047,Bruz,53214,Saint-Erblon,1.51
35047,Bruz,53221,Saint-Georges-sur-Erve,3.16
35047,Bruz,56033,Carentoir,3.61
35047,Bruz,56061,La Gacilly,1.22
35047,Bruz,56067,Grand-Champ,3.63
35047,Bruz,56097,Landévant,3.16
35047,Bruz,56121,Lorient,5.09
35047,Bruz,56127,Mauron,3.14
35047,Bruz,56177,Pluvigner,3.61
35047,Bruz,56178,Pontivy,1.57
35047,Bruz,56184,Questembert,1.22
35047,Bruz,56213,Saint-Gérand-Croixanvec,10.97
35047,Bruz,56237,Saint-Thuriau,4.86
35047,Bruz,56243,Séné,1.48
35047,Bruz,56251,Theix-Noyalo,1.23
35047,Bruz,56263,Sainte-Anne-d'Auray,1.39
35047,Bruz,57211,Fèves,2.78
35047,Bruz,57323,Hettange-Grande,10.81
35047,Bruz,57463,Metz,1.39
35047,Bruz,57631,Sarreguemines,11.44
35047,Bruz,59178,Douai,1.09
35047,Bruz,59295,Hazebrouck,1.23
35047,Bruz,59350,Lille,1.08
35047,Bruz,59378,Marcq-en-Barœul,5.0
35047,Bruz,59414,Montigny-en-Ostrevent,1.23
35047,Bruz,59599,Tourcoing,2.78
35047,Bruz,59649,Wattignies-la-Victoire,2.46
35047,Bruz,60271,Gerberoy,1.39
35047,Bruz,60458,La Neuville-sur-Oudeuil,1.57
35047,Bruz,61181,Gacé,3.16
35047,Bruz,62193,Calais,27.96
35047,Bruz,63307,Romagnat,1.39
35047,Bruz,66050,Claira,3.61
35047,Bruz,67180,Haguenau,1.39
35047,Bruz,67482,Strasbourg,1.48
35047,Bruz,67519,La Wantzenau,1.39
35047,Bruz,69168,Rochetaillée-sur-Saône,1.39
35047,Bruz,69256,Vaulx-en-Velin,1.39
35047,Bruz,69286,Rillieux-la-Pape,1.39
35047,Bruz,69385,Lyon 5e Arrondissement,4.88
35047,Bruz,70227,Faucogney-et-la-Mer,0.95
35047,Bruz,71076,Chalon-sur-Saône,1.24
35047,Bruz,71475,Saint-Rémy,3.16
35047,Bruz,72111,Cures,5.58
35047,Bruz,72154,La Flèche,5.59
35047,Bruz,72181,Le Mans,1.39
35047,Bruz,72213,Mulsanne,1.39
35047,Bruz,72386,Yvré-l'Évêque,1.57
35047,Bruz,73065,Chambéry,1.48
35047,Bruz,74010,Annecy,1.57
35047,Bruz,74258,Samoëns,1.23
35047,Bruz,75102,Paris 2e Arrondissement,3.16
35047,Bruz,75108,Paris 8e Arrondissement,1.39
35047,Bruz,75114,Paris 14e Arrondissement,11.19
35047,Bruz,75116,Paris 16e Arrondissement,10.45
35047,Bruz,75118,Paris 18e Arrondissement,2.78
35047,Bruz,75120,Paris 20e Arrondissement,11.19
35047,Bruz,76057,Barentin,3.6
35047,Bruz,76494,Parc-d'Anxtot,1.39
35047,Bruz,76498,Le Petit-Quevilly,1.39
35047,Bruz,76551,Sainneville,4.86
35047,Bruz,76573,Saint-Denis-le-Thiboult,4.31
35047,Bruz,77136,Courquetaine,1.22
35047,Bruz,77152,Dammarie-les-Lys,1.22
35047,Bruz,78062,Beynes,1.23
