code_origine,commune_origine,dep_origine,code_destination,commune_destination,dep_destination,flux,annee
01423,Toussieux,01,42218,Saint-Étienne,42,5.2,2019
01426,Val-Revermont,01,42218,Saint-Étienne,42,5.06,2019
01427,Trévoux,01,42218,Saint-Étienne,42,5.0,2019
01435,Versonnex,01,38185,Grenoble,38,5.0,2019
01443,Villars-les-Dombes,01,38185,Grenoble,38,5.01,2019
01444,Villebois,01,38185,Grenoble,38,5.0,2019
01449,Villette-sur-Ain,01,42218,Saint-Étienne,42,5.08,2019
01452,Virieu-le-Grand,01,34172,Montpellier,34,5.0,2019
01452,Virieu-le-Grand,01,42218,Saint-Étienne,42,5.0,2019
01453,Arvière-en-Valromey,01,38185,Grenoble,38,5.03,2019
02095,Bohain-en-Vermandois,02,76540,Rouen,76,5.0,2019
02110,Braine,02,34172,Montpellier,34,4.88,2019
02114,Brasles,02,35238,Rennes,35,5.11,2019
02168,Château-Thierry,02,35238,Rennes,35,3.12,2019
02168,Château-Thierry,02,38185,Grenoble,38,1.02,2019
02168,Château-Thierry,02,76451,Mont-Saint-Aignan,76,2.98,2019
02173,Chauny,02,76540,Rouen,76,1.44,2019
02195,Ciry-Salsogne,02,34198,Pérols,34,5.06,2019
02237,Crécy-sur-Serre,02,76540,Rouen,76,5.01,2019
02281,L'Épine-aux-Bois,02,35238,Rennes,35,10.0,2019
02289,Essises,02,35238,Rennes,35,5.0,2019
02292,Étampes-sur-Marne,02,38185,Grenoble,38,4.9,2019
02322,Fontaine-Notre-Dame,02,76540,Rouen,76,4.97,2019
02336,Frières-Faillouël,02,34172,Montpellier,34,5.0,2019
02339,Gandelu,02,35238,Rennes,35,10.12,2019
02353,Grandlup-et-Fay,02,35238,Rennes,35,5.0,2019
02374,Lehaucourt,02,76540,Rouen,76,4.79,2019
02381,Hirson,02,76540,Rouen,76,4.98,2019
02408,Laon,02,34172,Montpellier,34,6.0,2019
02506,Montgobert,02,76540,Rouen,76,5.08,2019
02558,Le Nouvion-en-Thiérache,02,76540,Rouen,76,9.54,2019
02618,Prémont,02,35238,Rennes,35,5.02,2019
02676,Saint-Erme-Outre-et-Ramecourt,02,35238,Rennes,35,5.26,2019
02687,Saint-Pierre-Aigle,02,76540,Rouen,76,5.0,2019
02691,Saint-Quentin,02,34172,Montpellier,34,2.83,2019
02691,Saint-Quentin,02,35238,Rennes,35,3.02,2019
02722,Soissons,02,76540,Rouen,76,14.56,2019
02734,Taillefontaine,02,38185,Grenoble,38,4.96,2019
02788,Versigny,02,76540,Rouen,76,5.0,2019
02800,Viffort,02,38185,Grenoble,38,5.0,2019
02810,Villers-Cotterêts,02,34172,Montpellier,34,10.38,2019
02810,Villers-Cotterêts,02,35238,Rennes,35,3.7,2019
02810,Villers-Cotterêts,02,38185,Grenoble,38,2.72,2019
02810,Villers-Cotterêts,02,76540,Rouen,76,5.24,2019
03001,Abrest,03,42095,Firminy,42,5.01,2019
03003,Ainay-le-Château,03,35238,Rennes,35,5.15,2019
03023,Bellerive-sur-Allier,03,38185,Grenoble,38,4.95,2019
03023,Bellerive-sur-Allier,03,42218,Saint-Étienne,42,4.95,2019
03030,Biozat,03,34172,Montpellier,34,5.16,2019
03043,Broût-Vernet,03,76540,Rouen,76,4.98,2019
03060,Charmeil,03,35238,Rennes,35,10.49,2019
03067,Châtelperron,03,35238,Rennes,35,5.15,2019
03080,Cognat-Lyonne,03,42305,La Talaudière,42,5.03,2019
03095,Cusset,03,34172,Montpellier,34,2.56,2019
03095,Cusset,03,42218,Saint-Étienne,42,5.99,2019
03098,Désertines,03,34172,Montpellier,34,5.06,2019
03101,Domérat,03,38185,Grenoble,38,4.93,2019
03101,Domérat,03,76540,Rouen,76,5.0,2019
03106,Durdat-Larequille,03,38185,Grenoble,38,5.0,2019
03137,Langy,03,42218,Saint-Étienne,42,5.08,2019
03165,Le Mayet-de-Montagne,03,42218,Saint-Étienne,42,5.0,2019
03181,Montcombroux-les-Mines,03,76575,Saint-Étienne-du-Rouvray,76,4.79,2019
03185,Montluçon,03,38185,Grenoble,38,3.17,2019
03185,Montluçon,03,42218,Saint-Étienne,42,0.97,2019
03185,Montluçon,03,76540,Rouen,76,2.94,2019
03187,Montoldre,03,42218,Saint-Étienne,42,4.88,2019
03190,Moulins,03,34172,Montpellier,34,5.51,2019
03190,Moulins,03,42218,Saint-Étienne,42,3.11,2019
03254,Saint-Pourçain-sur-Sioule,03,76540,Rouen,76,5.09,2019
03258,Saint-Rémy-en-Rollat,03,42218,Saint-Étienne,42,4.94,2019
03304,Vendat,03,35238,Rennes,35,5.0,2019
03309,Le Veurdre,03,76540,Rouen,76,9.75,2019
03310,Vichy,03,34172,Montpellier,34,8.19,2019
03310,Vichy,03,35238,Rennes,35,2.76,2019
03310,Vichy,03,38185,Grenoble,38,2.01,2019
03310,Vichy,03,42218,Saint-Étienne,42,5.38,2019
04004,Allemagne-en-Provence,04,34172,Montpellier,34,4.88,2019
04012,Aubenas-les-Alpes,04,34172,Montpellier,34,4.69,2019
04019,Barcelonnette,04,38185,Grenoble,38,5.12,2019
04026,Bellaffaire,04,38185,Grenoble,38,4.59,2019
04070,Digne-les-Bains,04,34172,Montpellier,34,2.29,2019
04086,Faucon-de-Barcelonnette,04,34172,Montpellier,34,5.17,2019
04096,Jausiers,04,38185,Grenoble,38,5.0,2019
04111,Mane,04,34172,Montpellier,34,9.94,2019
04112,Manosque,04,38185,Grenoble,38,5.72,2019
04112,Manosque,04,76540,Rouen,76,2.85,2019
04113,Marcoux,04,34172,Montpellier,34,4.08,2019
04127,Montfort,04,34172,Montpellier,34,4.31,2019
04134,La Motte-du-Caire,04,34172,Montpellier,34,15.08,2019
04143,Oraison,04,34057,Castelnau-le-Lez,34,4.89,2019
04143,Oraison,04,34172,Montpellier,34,9.79,2019
04143,Oraison,04,42218,Saint-Étienne,42,5.09,2019
04143,Oraison,04,76540,Rouen,76,4.71,2019
04152,Pierrevert,04,35238,Rennes,35,4.99,2019
04160,Reillanne,04,35238,Rennes,35,5.06,2019
04217,Thoard,04,34172,Montpellier,34,10.0,2019
05006,L'Argentière-la-Bessée,05,38421,Saint-Martin-d'Hères,38,9.83,2019
05017,La Bâtie-Neuve,05,34198,Pérols,34,4.84,2019
05017,La Bâtie-Neuve,05,38185,Grenoble,38,5.12,2019
05017,La Bâtie-Neuve,05,38421,Saint-Martin-d'Hères,38,4.84,2019
05023,Briançon,05,34172,Montpellier,34,6.58,2019
05023,Briançon,05,35238,Rennes,35,7.9,2019
05023,Briançon,05,38185,Grenoble,38,23.89,2019
05039,Aubessagne,05,38185,Grenoble,38,5.01,2019
05040,Chorges,05,38185,Grenoble,38,5.07,2019
05046,Embrun,05,38185,Grenoble,38,9.84,2019
05061,Gap,05,34172,Montpellier,34,11.99,2019
05061,Gap,05,35238,Rennes,35,6.0,2019
05061,Gap,05,38185,Grenoble,38,36.15,2019
05061,Gap,05,38229,Meylan,38,3.0,2019
05061,Gap,05,38562,Vizille,38,0.89,2019
05061,Gap,05,42218,Saint-Étienne,42,4.96,2019
05063,La Grave,05,38169,Fontaine,38,5.02,2019
05063,La Grave,05,38185,Grenoble,38,5.02,2019
05063,La Grave,05,38562,Vizille,38,5.02,2019
05070,Laragne-Montéglin,05,38421,Saint-Martin-d'Hères,38,4.98,2019
05079,Le Monêtier-les-Bains,05,34172,Montpellier,34,5.02,2019
05079,Le Monêtier-les-Bains,05,38185,Grenoble,38,10.04,2019
05084,Montgardin,05,38185,Grenoble,38,5.0,2019
05090,La Motte-en-Champsaur,05,42218,Saint-Étienne,42,5.07,2019
05096,Orcières,05,38185,Grenoble,38,5.04,2019
05106,Prunières,05,38421,Saint-Martin-d'Hères,38,5.01,2019
05109,Puy-Saint-Pierre,05,38185,Grenoble,38,5.1,2019
05123,La Roche-des-Arnauds,05,34172,Montpellier,34,4.87,2019
05128,Saint-André-d'Embrun,05,38185,Grenoble,38,5.0,2019
05128,Saint-André-d'Embrun,05,42218,Saint-Étienne,42,10.0,2019
05132,Saint-Bonnet-en-Champsaur,05,34022,Baillargues,34,4.96,2019
05145,Saint-Jean-Saint-Nicolas,05,38185,Grenoble,38,5.05,2019
05145,Saint-Jean-Saint-Nicolas,05,38421,Saint-Martin-d'Hères,38,5.05,2019
05153,Saint-Michel-de-Chaillol,05,38185,Grenoble,38,5.1,2019
05174,Val-des-Prés,05,38185,Grenoble,38,5.0,2019
05178,Ventavon,05,38185,Grenoble,38,9.68,2019
05181,Villar-d'Arêne,05,34172,Montpellier,34,5.01,2019
05181,Villar-d'Arêne,05,38562,Vizille,38,4.86,2019
05183,Villar-Saint-Pancrace,05,38185,Grenoble,38,5.08,2019
06004,Antibes,06,34172,Montpellier,34,20.81,2019
06004,Antibes,06,35238,Rennes,35,5.55,2019
06004,Antibes,06,38185,Grenoble,38,12.58,2019
06004,Antibes,06,42218,Saint-Étienne,42,3.09,2019
06011,Beaulieu-sur-Mer,06,35238,Rennes,35,5.15,2019
06012,Beausoleil,06,38185,Grenoble,38,2.61,2019
06012,Beausoleil,06,76540,Rouen,76,0.9,2019
06018,Biot,06,76540,Rouen,76,4.95,2019
06021,Bonson,06,35238,Rennes,35,4.86,2019
06023,Breil-sur-Roya,06,34172,Montpellier,34,4.86,2019
06026,Cabris,06,34172,Montpellier,34,5.0,2019
06027,Cagnes-sur-Mer,06,34172,Montpellier,34,11.75,2019
06027,Cagnes-sur-Mer,06,35238,Rennes,35,3.07,2019
06027,Cagnes-sur-Mer,06,38185,Grenoble,38,3.08,2019
06027,Cagnes-sur-Mer,06,42218,Saint-Étienne,42,1.01,2019
06029,Cannes,06,34172,Montpellier,34,13.79,2019
06029,Cannes,06,38185,Grenoble,38,5.95,2019
06029,Cannes,06,76540,Rouen,76,2.94,2019
06030,Le Cannet,06,34172,Montpellier,34,15.46,2019
06030,Le Cannet,06,35238,Rennes,35,0.91,2019
06030,Le Cannet,06,38185,Grenoble,38,6.7,2019
06030,Le Cannet,06,42207,Saint-Chamond,42,0.96,2019
06031,Cantaron,06,38185,Grenoble,38,5.06,2019
06032,Cap-d'Ail,06,34172,Montpellier,34,4.99,2019
06044,La Colle-sur-Loup,06,34172,Montpellier,34,15.12,2019
06044,La Colle-sur-Loup,06,76540,Rouen,76,5.04,2019
06054,Drap,06,38185,Grenoble,38,5.78,2019
06065,La Gaude,06,34172,Montpellier,34,5.0,2019
06065,La Gaude,06,35238,Rennes,35,5.0,2019
06069,Grasse,06,35238,Rennes,35,8.14,2019
06069,Grasse,06,38185,Grenoble,38,9.18,2019
06069,Grasse,06,42218,Saint-Étienne,42,5.98,2019
06083,Menton,06,35047,Bruz,35,1.03,2019
06083,Menton,06,38185,Grenoble,38,4.93,2019
