metropole,code_commune,nom_commune,annee,indicateur_occupation,valeur
Grenoble,38423,Saint-Martin-le-Vinoux,2022,SEV_UNDER_OCC,393.8356
Rouen,76354,Hénouville,2022,SEV_UNDER_OCC,128.80234
Montpellier,34090,Le Crès,2022,SEV_OVER_OCC,4.97731
Grenoble,38423,Saint-Martin-le-Vinoux,2022,MOD_OVER_OCC,303.38707
Rouen,76608,Sainte-Marguerite-sur-Duclair,2022,SEV_OVER_OCC,0.0
Rouen,76486,Orival,2022,SEV_OVER_OCC,0.0
Rouen,76486,Orival,2022,SEV_UNDER_OCC,105.96699
Grenoble,38421,Saint-Martin-d'Hères,2022,MOD_UNDER_OCC,5252.12526
Rennes,35039,Brécé,2022,SEV_UNDER_OCC,229.95195
Rouen,76005,Amfreville-la-Mi-Voie,2022,SEV_OVER_OCC,0.0
Grenoble,38328,Quaix-en-Chartreuse,2022,SEV_OVER_OCC,0.0
Rouen,76005,Amfreville-la-Mi-Voie,2022,STD_OCC,377.15146
Grenoble,38471,Le Sappey-en-Chartreuse,2022,MOD_OVER_OCC,5.06724
Saint-Etienne,42093,Farnay,2022,MOD_UNDER_OCC,113.84695
Saint-Etienne,42259,Saint-Martin-la-Plaine,2022,SEV_OVER_OCC,0.0
Saint-Etienne,42218,Saint-Étienne,2022,SEV_OVER_OCC,901.79241
Grenoble,38388,Saint-Georges-de-Commiers,2022,MOD_UNDER_OCC,191.58673
Rouen,76536,Roncherolles-sur-le-Vivier,2022,SEV_OVER_OCC,0.0
Grenoble,38328,Quaix-en-Chartreuse,2022,MOD_UNDER_OCC,51.2059
Saint-Etienne,42093,Farnay,2022,STD_OCC,34.41381
Grenoble,38328,Quaix-en-Chartreuse,2022,STD_OCC,37.45597
Rouen,76237,Épinay-sur-Duclair,2022,STD_OCC,20.82027
Grenoble,38423,Saint-Martin-le-Vinoux,2022,VSEV_UNDER_OCC,430.85931
Rouen,76536,Roncherolles-sur-le-Vivier,2022,MOD_UNDER_OCC,67.71306
Saint-Etienne,42218,Saint-Étienne,2022,MOD_UNDER_OCC,26032.8753
Rouen,76464,La Neuville-Chant-d'Oisel,2022,VSEV_UNDER_OCC,455.0
Rouen,76354,Hénouville,2022,STD_OCC,29.77225
Saint-Etienne,42259,Saint-Martin-la-Plaine,2022,SEV_UNDER_OCC,435.34661
Grenoble,38388,Saint-Georges-de-Commiers,2022,STD_OCC,95.97649
Grenoble,38328,Quaix-en-Chartreuse,2022,SEV_UNDER_OCC,88.47443
Grenoble,38111,Claix,2022,STD_OCC,438.87028
Rennes,35363,Pont-Péan,2022,MOD_OVER_OCC,50.33101
Saint-Etienne,42093,Farnay,2022,VSEV_UNDER_OCC,191.87819
Montpellier,34090,Le Crès,2022,MOD_OVER_OCC,145.35789
Grenoble,38421,Saint-Martin-d'Hères,2022,STD_OCC,4656.59753
Grenoble,38423,Saint-Martin-le-Vinoux,2022,STD_OCC,584.1534
Rouen,76486,Orival,2022,MOD_OVER_OCC,14.00506
Rennes,35039,Brécé,2022,MOD_OVER_OCC,5.11821
Rouen,76536,Roncherolles-sur-le-Vivier,2022,STD_OCC,67.61641
Grenoble,38421,Saint-Martin-d'Hères,2022,MOD_OVER_OCC,3269.5638
Rennes,35363,Pont-Péan,2022,VSEV_UNDER_OCC,642.78878
Rennes,35055,Chantepie,2022,VSEV_UNDER_OCC,1227.18939
Saint-Etienne,42218,Saint-Étienne,2022,SEV_UNDER_OCC,14270.35666
Rennes,35055,Chantepie,2022,STD_OCC,1319.93707
Grenoble,38421,Saint-Martin-d'Hères,2022,VSEV_UNDER_OCC,1187.17353
Rouen,76464,La Neuville-Chant-d'Oisel,2022,STD_OCC,35.0
Rouen,76005,Amfreville-la-Mi-Voie,2022,VSEV_UNDER_OCC,335.62112
Saint-Etienne,42259,Saint-Martin-la-Plaine,2022,MOD_OVER_OCC,15.01195
Rennes,35055,Chantepie,2022,MOD_OVER_OCC,149.37271
Rouen,76550,Sahurs,2016,SEV_UNDER_OCC,170.0
Rouen,76750,Yainville,2016,STD_OCC,73.9974
Rouen,76540,Rouen,2016,MOD_OVER_OCC,12753.26105
Montpellier,34327,Vendargues,2016,VSEV_UNDER_OCC,608.61111
Montpellier,34058,Castries,2022,SEV_OVER_OCC,9.70978
Rouen,76436,Le Mesnil-sous-Jumièges,2016,MOD_OVER_OCC,10.16758
Montpellier,34169,Montferrier-sur-Lez,2016,VSEV_UNDER_OCC,840.26358
Rouen,76750,Yainville,2016,SEV_UNDER_OCC,120.4417
Montpellier,34169,Montferrier-sur-Lez,2016,STD_OCC,237.98497
Saint-Etienne,42322,La Valla-en-Gier,2016,MOD_OVER_OCC,9.57078
Rouen,76103,Bonsecours,2022,SEV_OVER_OCC,0.0
Saint-Etienne,42053,Châteauneuf,2022,VSEV_UNDER_OCC,268.2307
Grenoble,38382,Saint-Égrève,2022,SEV_OVER_OCC,16.4225
Rennes,35081,Clayes,2022,SEV_UNDER_OCC,84.23536
Montpellier,34027,Beaulieu,2022,STD_OCC,118.98741
Montpellier,34027,Beaulieu,2022,VSEV_UNDER_OCC,421.08152
Grenoble,38170,Fontanil-Cornillon,2022,SEV_OVER_OCC,0.0
Rouen,76282,Freneuse,2022,MOD_UNDER_OCC,61.63604
Rouen,76273,Fontaine-sous-Préaux,2022,SEV_OVER_OCC,0.0
Rouen,76282,Freneuse,2022,SEV_OVER_OCC,0.0
Montpellier,34027,Beaulieu,2022,MOD_OVER_OCC,4.66824
Saint-Etienne,42308,La Terrasse-sur-Dorlay,2022,MOD_OVER_OCC,5.1254
Grenoble,38382,Saint-Égrève,2022,VSEV_UNDER_OCC,1651.99763
Rennes,35334,Thorigné-Fouillard,2022,SEV_UNDER_OCC,649.5681
Montpellier,34134,Lavérune,2022,MOD_UNDER_OCC,344.77662
Rouen,76131,La Bouille,2022,SEV_OVER_OCC,0.0
Rouen,76273,Fontaine-sous-Préaux,2022,VSEV_UNDER_OCC,93.86928
Saint-Etienne,42053,Châteauneuf,2022,SEV_OVER_OCC,0.0
Montpellier,34134,Lavérune,2022,STD_OCC,322.84736
