commune_code,nom,millesimes_1,pourcent_artif_1,surface_artif_1,millesimes_2,pourcent_artif_2,surface_artif_2,flux_surface_1_2,flux_percent_1_2,commune_surface,metropole
34022,Baillargues,2018,48.4909491351332,3791927.0869,2021,49.2156034585593,3848594.0816,56666.9947,0.724654323426087,7819865.67500001,Montpellier
34027,Beaulieu,2018,12.2012234034592,963043.6101,2021,12.1869717225115,961918.7237,-1124.8864,-0.0142516809477495,7893008.57999997,Montpellier
34057,Castelnau-le-Lez,2018,64.7019653692457,7187382.1852,2021,64.7495171817454,7192664.4521,5282.2669,0.0475518124997905,11108444.9199998,Montpellier
34058,Castries,2018,13.7808692739233,3324639.167,2021,13.7778078106678,3323900.588,-738.579,-0.00306146325546841,24125032.3250001,Montpellier
34077,Clapiers,2018,29.1811457878408,2231699.0489,2021,29.3822149372547,2247076.3008,15377.2519,0.20106914941395,7647743.05000013,Montpellier
34087,Cournonsec,2018,13.4169143379115,1634811.5375,2021,13.8682831807087,1689809.503,54997.9655,0.451368842797216,12184705.785,Montpellier
34088,Cournonterral,2018,10.6638258626575,3076265.4222,2021,10.7426605330277,3099007.3887,22741.9665,0.0788346703702025,28847671.2,Montpellier
34090,Le Crès,2018,59.5537678484208,3462235.6959,2021,59.7159038795862,3471661.6848,9425.9889,0.162136031165389,5813629.96999998,Montpellier
34095,Fabrègues,2018,14.0246054125041,4488208.7658,2021,14.3283098818914,4585401.4512,97192.6854,0.303704469387283,32002388.8999998,Montpellier
34116,Grabels,2018,21.8366509432189,3622100.7898,2021,21.9052339389162,3633476.8256,11376.0358,0.0685829956973372,16587254.1499996,Montpellier
34120,Jacou,2018,58.8371483860315,1970271.189,2021,59.0248386357637,1976556.3456,6285.1566,0.187690249732228,3348685.72499982,Montpellier
34123,Juvignac,2018,39.5164794544967,4309503.9929,2021,39.5348874780616,4311511.4959,2007.503,0.0184080235649091,10905586.865,Montpellier
34129,Lattes,2018,31.3490179987051,10110640.0295,2021,32.2625968392186,10405286.1583,294646.1288,0.913578840513498,32251855.6400001,Montpellier
34134,Lavérune,2018,18.8213113752977,1348103.1554,2021,18.8382130995261,1349313.7654,1210.61,0.0169017242284291,7162642.01000009,Montpellier
