metropole,code_commune,nom_commune,annee,lieu_travail,sexe,mode_transport,valeur
Rennes,35315,Saint-Sulpice-la-Forêt,2020,Commune de résidence,Hommes,Pas de transport,9.5277923889
Rennes,35334,Thorigné-Fouillard,2020,Commune de résidence,Hommes,Pas de transport,35.0584495043
Rennes,35351,Le Verger,2020,Commune de résidence,Hommes,Pas de transport,9.9969202109
Rennes,35352,Vern-sur-Seiche,2020,Commune de résidence,Hommes,Pas de transport,30.0
Rennes,35353,Vezin-le-Coquet,2020,Commune de résidence,Hommes,Pas de transport,48.4360308269
Rennes,35363,Pont-Péan,2020,Commune de résidence,Hommes,Pas de transport,20.0
Grenoble,38057,Bresson,2020,Commune de résidence,Hommes,Pas de transport,5.0
Grenoble,38059,Brié-et-Angonnes,2020,Commune de résidence,Hommes,Pas de transport,30.2629365059
Grenoble,38068,Champagnier,2020,Commune de résidence,Hommes,Pas de transport,8.2343083745
Grenoble,38071,Champ-sur-Drac,2020,Commune de résidence,Hommes,Pas de transport,0.0
Grenoble,38111,Claix,2020,Commune de résidence,Hommes,Pas de transport,65.0
Grenoble,38126,Corenc,2020,Commune de résidence,Hommes,Pas de transport,35.8720943922
Grenoble,38150,Domène,2020,Commune de résidence,Hommes,Pas de transport,40.1963598579
Grenoble,38151,Échirolles,2020,Commune de résidence,Hommes,Pas de transport,90.1826869496
Grenoble,38158,Eybens,2020,Commune de résidence,Hommes,Pas de transport,34.6375464841
Grenoble,38169,Fontaine,2020,Commune de résidence,Hommes,Pas de transport,97.4585107162
Grenoble,38170,Fontanil-Cornillon,2020,Commune de résidence,Hommes,Pas de transport,15.0
Grenoble,38179,Gières,2020,Commune de résidence,Hommes,Pas de transport,15.0067242417
Grenoble,38185,Grenoble,2020,Commune de résidence,Hommes,Pas de transport,881.8982780343
Grenoble,38187,Le Gua,2020,Commune de résidence,Hommes,Pas de transport,0.0
Grenoble,38188,Herbeys,2020,Commune de résidence,Hommes,Pas de transport,4.9814375908
Grenoble,38200,Jarrie,2020,Commune de résidence,Hommes,Pas de transport,0.0
Grenoble,38229,Meylan,2020,Commune de résidence,Hommes,Pas de transport,121.2850267423
Grenoble,38235,Miribel-Lanchâtre,2020,Commune de résidence,Hommes,Pas de transport,0.0
Grenoble,38252,Montchaboud,2020,Commune de résidence,Hommes,Pas de transport,4.9451243595
Grenoble,38258,Mont-Saint-Martin,2020,Commune de résidence,Hommes,Pas de transport,0.0
Grenoble,38271,Murianette,2020,Commune de résidence,Hommes,Pas de transport,0.0
Grenoble,38277,Notre-Dame-de-Commiers,2020,Commune de résidence,Hommes,Pas de transport,0.0
Grenoble,38279,Notre-Dame-de-Mésage,2020,Commune de résidence,Hommes,Pas de transport,0.0
Grenoble,38281,Noyarey,2020,Commune de résidence,Hommes,Pas de transport,26.0494547102
Grenoble,38309,Poisat,2020,Commune de résidence,Hommes,Pas de transport,4.9830186969
Grenoble,38317,Le Pont-de-Claix,2020,Commune de résidence,Hommes,Pas de transport,34.4249289991
Grenoble,38325,Proveysieux,2020,Commune de résidence,Hommes,Pas de transport,0.0
Grenoble,38328,Quaix-en-Chartreuse,2020,Commune de résidence,Hommes,Pas de transport,4.9470914661
Grenoble,38364,Saint-Barthélemy-de-Séchilienne,2020,Commune de résidence,Hommes,Pas de transport,4.9757470668
Grenoble,38382,Saint-Égrève,2020,Commune de résidence,Hommes,Pas de transport,52.7509401136
Grenoble,38388,Saint-Georges-de-Commiers,2020,Commune de résidence,Hommes,Pas de transport,10.2139806927
Grenoble,38421,Saint-Martin-d'Hères,2020,Commune de résidence,Hommes,Pas de transport,89.3256133028
Grenoble,38423,Saint-Martin-le-Vinoux,2020,Commune de résidence,Hommes,Pas de transport,30.3832737682
Grenoble,38436,Saint-Paul-de-Varces,2020,Commune de résidence,Hommes,Pas de transport,0.0
Grenoble,38445,Saint-Pierre-de-Mésage,2020,Commune de résidence,Hommes,Pas de transport,0.0
Grenoble,38471,Le Sappey-en-Chartreuse,2020,Commune de résidence,Hommes,Pas de transport,20.002069948
Grenoble,38472,Sarcenas,2020,Commune de résidence,Hommes,Pas de transport,5.0
Grenoble,38474,Sassenage,2020,Commune de résidence,Hommes,Pas de transport,91.5535813421
Grenoble,38478,Séchilienne,2020,Commune de résidence,Hommes,Pas de transport,0.0
Grenoble,38485,Seyssinet-Pariset,2020,Commune de résidence,Hommes,Pas de transport,58.3253914213
Grenoble,38486,Seyssins,2020,Commune de résidence,Hommes,Pas de transport,58.2743764796
Grenoble,38516,La Tronche,2020,Commune de résidence,Hommes,Pas de transport,24.7344093843
Grenoble,38524,Varces-Allières-et-Risset,2020,Commune de résidence,Hommes,Pas de transport,1080.0
Grenoble,38528,Vaulnaveys-le-Bas,2020,Commune de résidence,Hommes,Pas de transport,15.4354010631
Grenoble,38529,Vaulnaveys-le-Haut,2020,Commune de résidence,Hommes,Pas de transport,45.3109964698
Grenoble,38533,Venon,2020,Commune de résidence,Hommes,Pas de transport,14.5403812285
