CODGEO,LIBGEO,ILTR1_SEXE1_TRANS_191,ILTR1_SEXE1_TRANS_192,ILTR1_SEXE1_TRANS_193,ILTR1_SEXE1_TRANS_194,ILTR1_SEXE1_TRANS_195,ILTR1_SEXE1_TRANS_196,ILTR1_SEXE2_TRANS_191,ILTR1_SEXE2_TRANS_192,ILTR1_SEXE2_TRANS_193,ILTR1_SEXE2_TRANS_194,ILTR1_SEXE2_TRANS_195,ILTR1_SEXE2_TRANS_196,ILTR2_SEXE1_TRANS_191,ILTR2_SEXE1_TRANS_192,ILTR2_SEXE1_TRANS_193,ILTR2_SEXE1_TRANS_194,ILTR2_SEXE1_TRANS_195,ILTR2_SEXE1_TRANS_196,ILTR2_SEXE2_TRANS_191,ILTR2_SEXE2_TRANS_192,ILTR2_SEXE2_TRANS_193,ILTR2_SEXE2_TRANS_194,ILTR2_SEXE2_TRANS_195,ILTR2_SEXE2_TRANS_196,ILTR3_SEXE1_TRANS_191,ILTR3_SEXE1_TRANS_192,ILTR3_SEXE1_TRANS_193,ILTR3_SEXE1_TRANS_194,ILTR3_SEXE1_TRANS_195,ILTR3_SEXE1_TRANS_196,ILTR3_SEXE2_TRANS_191,ILTR3_SEXE2_TRANS_192,ILTR3_SEXE2_TRANS_193,ILTR3_SEXE2_TRANS_194,ILTR3_SEXE2_TRANS_195,ILTR3_SEXE2_TRANS_196,ILTR4_SEXE1_TRANS_191,ILTR4_SEXE1_TRANS_192,ILTR4_SEXE1_TRANS_193,ILTR4_SEXE1_TRANS_194,ILTR4_SEXE1_TRANS_195,ILTR4_SEXE1_TRANS_196,ILTR4_SEXE2_TRANS_191,ILTR4_SEXE2_TRANS_192,ILTR4_SEXE2_TRANS_193,ILTR4_SEXE2_TRANS_194,ILTR4_SEXE2_TRANS_195,ILTR4_SEXE2_TRANS_196,ILTR5_SEXE1_TRANS_191,ILTR5_SEXE1_TRANS_192,ILTR5_SEXE1_TRANS_193,ILTR5_SEXE1_TRANS_194,ILTR5_SEXE1_TRANS_195,ILTR5_SEXE1_TRANS_196,ILTR5_SEXE2_TRANS_191,ILTR5_SEXE2_TRANS_192,ILTR5_SEXE2_TRANS_193,ILTR5_SEXE2_TRANS_194,ILTR5_SEXE2_TRANS_195,ILTR5_SEXE2_TRANS_196
34120,Jacou,50.3503748975,25.2162484487,14.9165938226,9.891853314,130.7815156689,5.108117468,55.0480956732,35.1875217287,4.9452778119,0,161.2062584058,9.9713160107,0,4.9452778119,35.028639066,80.431119579,992.4613528473,50.0312055688,0,4.8658151152,10.1341556667,4.8658151152,1138.6933555667,70.5392019959,0,0,0,0,65.2643521476,0,0,0,0,0,20.1067905599,5.108117468,0,0,0,0,9.891853314,9.9713160107,0,0,0,0,4.9452778119,20.104152795,0,0,0,0,0,4.9452778119,0,0,0,0,0,0
34123,Juvignac,94.7209340386,57.7104420435,10.3934520682,3.3531221717,328.5217615521,17.532383879,94.8516340766,60.379051638,6.404786225,0,311.0363209427,30.0601383107,4.8049151154,18.7854899631,73.6060842034,184.8651220682,1585.003448076,139.8731022684,1.1177073906,17.8325687857,83.2517312714,10.3808152339,1742.890597236,279.0396226569,0,0,0,0,38.1697034293,0,2.2354147811,0,0,0,5.922622506,7.3744154497,2.2354147811,1.1177073906,0,0,85.3093526925,17.6083769082,0,3.6872077248,1.1177073906,0,16.2710512772,10.3554405023,0,0,1.1177073906,0,0,0,0,0,0,0,0,2.2354147811
34129,Lattes,118.9829656598,112.3963297537,65.8003917167,63.0285187611,665.8197274124,33.2566516526,176.4355525464,103.0878142143,51.7128638891,7.964510233,673.4710303403,55.8931376272,2.5619678837,37.0053946971,156.2605855299,203.9636658071,2017.93209707,186.6170331581,1.3564365204,4.8841155267,107.6012474652,10.2379665807,2065.8540590912,325.6644898754,0,0,0,0,190.5220556181,0,0,0,0,0,95.1417494755,13.1967824544,1.3564365204,7.155536355,0,0,149.2853854941,44.5999168991,0,1.1412599523,0,0,53.0062093285,23.8823336533,0,5.0809434661,0,0,5.0658101207,0,0,0,0,0,0,0
34134,Lavérune,15.1706168286,9.9681015841,0,4.984050792,74.3905081421,0,24.9269484119,25.2433838552,0,9.7586742455,40.2068215802,0,0,0,10.4005360455,64.4005864446,412.5274300049,25.6758665434,0,0,4.984050792,0,590.6173100575,24.9247484038,0,0,0,0,34.9998108789,0,0,0,0,0,4.984050792,0,0,0,0,0,34.6856226574,5.2002680228,0,0,0,0,4.984050792,0,0,0,0,0,0,0,0,0,0,0,0,0
34164,Montaud,14.8037272465,0,0,0,40.1661472096,0,14.42820508,0,0,4.6757614481,19.5070910703,0,0,0,5.0490798081,0,152.0944443212,5.0490798081,0,0,0,0,173.1659821409,4.6757614481,0,0,0,0,24.9592954207,0,0,0,0,0,15.9856744523,0,0,0,0,0,0,0,0,0,0,0,14.4006027042,0,0,0,0,0,0,0,0,0,0,0,0,0
34169,Montferrier-sur-Lez,30.8458832963,15.4232121011,0,15.4221304744,118.2421020234,15.421589725,30.8448017408,20.5632913115,5.1411608087,0,97.6779996377,10.2820512213,0,0,30.8456129146,25.7052633081,575.7864871408,5.1411608087,0,0,0,0,498.6715083759,15.4221305028,0,0,0,0,30.844531359,0,0,0,0,0,0,0,5.1408904126,0,0,0,10.2809696942,25.7041817099,0,0,0,0,10.2828624378,15.4221304744,0,0,0,0,0,0,0,0,0,0,5.1403496633,5.1408904126
34172,Montpellier,2257.337247076,5012.5477784064,6964.7022901186,2087.4386054347,19574.6456985873,7570.4570553772,1984.1784480299,6567.8908938252,5471.3603907767,360.0032553382,17555.022203877,12793.7700712569,11.0185216079,127.5211717994,653.0965063427,664.6333018611,9467.8915292459,1593.8408011915,28.5883346827,104.6646489485,272.0601196292,86.4672681393,7745.6321085599,1697.7408182588,10.0000007943,17.6952871515,31.4590731831,45.265684362,1383.7522708941,368.0918676258,40.2045344527,13.5981269828,5.8550292461,6.2505862284,1085.0764025599,404.4196966866,60.3956322091,51.1040305147,77.6911720262,33.2503526566,847.7327069559,561.5623390332,42.1726745082,70.6334251929,38.9424383132,8.5049128639,440.3355595379,506.5493580082,5.5837139592,10.4023428253,13.4357619248,0,43.501628259,29.1373833179,6.2332589972,11.2388512384,4.878488076,0,24.7330150969,19.4880965923
34179,Murviel-lès-Montpellier,9.4340875572,4.6788806898,0,0,46.8725037638,0,14.2668657044,14.0378671866,4.6788806898,0,42.0385004995,0,4.6037796294,0,18.5665260912,4.6037796294,328.718118032,0,4.6788806898,0,9.5153944701,0,373.8374493892,28.4561601289,0,0,0,0,4.6037796294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4902195782,0,0,0,0,0,0,0,0,0,0,0,0,0
34198,Pérols,26.6358620121,58.6610637116,26.5513060349,0,281.5001337821,21.1752987514,90.2355766889,84.6984316902,37.6495605327,0,334.9341350874,21.0920508114,10.6701801223,0,21.1752987514,63.5178590071,978.6857134741,58.8221802017,5.1277190754,0,10.5050765126,5.2928226851,1088.250240324,176.6288596743,0,0,0,0,79.150717603,5.4632423431,10.4192337233,0,0,0,52.7724681919,5.2096168616,0,0,0,0,74.3651249893,21.0894138456,0,0,0,0,37.5569673083,15.8784680553,0,0,0,0,0,0,0,0,0,0,0,0
34202,Pignan,70.5775886779,37.5621626441,14.2351979011,10.123992853,177.6106982511,0,76.029329383,90.5581490624,14.2351979011,5.6020207647,208.4163716104,4.8566129064,9.7132258128,0,41.1015640429,132.6671745944,1147.8452037914,15.3400110995,6.0165887398,0,15.6746519177,0,1259.59797981,69.8904981342,0,0,0,0,25.1809867347,0,5.6020207647,0,0,0,14.5698387192,0,0,0,0,0,38.9271968171,0,0,0,0,0,12.9427509154,20.5046676459,0,0,0,0,0,0,0,0,0,0,0,0
